stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,33.35,1546.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.02,0,0,0,0,0,0,0
  5-6,137.9,3554.17,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,233.2,18.98,0,38.15,86.05,0,0,0,0,0,0,0
  7-9,83.71,61.59,0,80.79,0,0,0,225.23,0,0,62.73,0,0,0,0,0,0,0,0,1804.53,59.43,0,433.9,16.6,26.72,0,0,0,0,0,0
 10-12,0,35.79,0,149.14,0,26.2,0,143.86,0,0,40.41,0,0,0,0,0,0,0,0,1068.24,37.86,0,354.94,4.24,19.49,33.84,8.54,0,0,0,0
 14-21,0,0,0,14.06,3.01,0,0,0,0,1.33,0,0.92,0,0,0,0,4.48,0,0,0,0,0,0,0,0,1.7,1.05,8.36,0,0,0
 24-34,0,0,0,0,0,0,0,2.18,0,0,0,2.97,0.71,0,0.71,0,0.62,0,0,0,0,0,0,1.06,0,0,0,3.63,0,0,0
 36-46,0,0,0,0,0,0,0,1.31,0,0,0,0,13.29,0,0,0.7,0,0,0,0,0,0,0,4.51,0,0,0,2.99,0,0,0
 48-58,0,0,0,0,0,0,0,1.1,0,2.57,0,0,40.52,0,2.86,0,0.4,0,0,1.39,0,0,0,0,0,1.13,0,0.52,0,0,0
 60-70,0,0,0,0,0,0,0,2.87,0,6.17,0,0,76.07,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0.68,0,0
 72-82,0,0,0,0,0,0,0,13.26,0,29.69,0,0,78.83,0,3.65,0,0,0,0,6.26,0,0,0,0,0,0.51,0,0,0,0,0
 84-94,0,0,0,0,0,5.36,0,5.37,0,60.56,0,0,173.69,0,22.12,0,3.01,0.73,0,3.54,0,0,0,0.86,0,4.76,0,0,10.13,0,0
 96-106,0,0,1.55,0,4.32,3.11,0,18.49,0.94,68.48,0,0,159,0,87.32,0,2.29,0.59,0,31.95,0,3.23,0,1.42,0,2.38,0,5.75,0,0,0
108-118,0,0,0.8,4.34,2.35,0,0.72,2.25,0.6,46.88,0,0,155.39,1.07,284.41,0,4.83,0.46,0.95,31.69,0.5,0,0,0.48,0,1.1,0,4.09,3.49,0.55,0.65
120,0,0,2.95,0,6.17,0,0,0,0,31.88,0,0,110.61,0,174.57,0,0,0,0,36.94,0,0,0,0,0,6.46,0,0,6.37,0,0
