stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,visceral_smooth_muscle
  3-4,46.49,364.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.22,0,0,0,0,0,0
  5-6,34.52,2446.38,0,0,0,0,0,0,0,24.34,0,0,0,0,0,0,0,323.99,7.03,0,0,94.1,165.66,0,0,0,0,0,0
  7-9,34.78,124.66,114.87,0,0,118.43,0,0,0,24.82,0,0,0,0,0,0,0,2822.3,42.3,0,0,1073.72,23.51,0,0,0,0,0,0
 10-12,0,43.8,34.63,0,10.78,92.99,0,0,0,6.21,0,0,0,0,0,0,0,2599.1,24.84,0,0,644.41,22.79,6.12,90.32,0,5.61,0,0
 14-21,0,0,1.75,544.91,22.75,57.15,0,0,1.5,2.12,3.05,0,0,0,0.86,20.46,32.46,3411.6,8,0.86,20.96,40.42,295.56,181.9,2.75,62.32,270.59,475.6,0
 24-34,0,0,0,3.52,0,4.41,0,4.78,0,0,0,0,1.37,0,0,1.46,3.54,293.57,0.67,1.83,0,0,34.48,0,0,0.95,1.38,29.24,0
 36-46,0,0,0,1.4,0,5.88,0,0.61,0,0,0,0,0,0,0,4.97,0,43.12,0,0.81,0,0,13.14,0,0,0,0,8.94,0
 48-58,0,0,0,0,0,3.74,0,9.55,0,0,0,0,0,1.34,0,2.68,0,64.06,0,4.96,0,0,0.39,0,0,0,0,35.89,0
 60-70,0,0,0,0,0,4.62,0,20.41,0,0,2.48,0,0,0,0,10.77,0,32.49,0,0,0,0,2.52,0,0,0,0,4.83,0
 72-82,0,0,0,0,0,6.61,0,66.75,0,0,0,0,0.97,0,0,28.06,0,55.59,0,0,0,0,2.16,0,0,0,0,9.63,0
 84-94,0,0,0,0,0,8.41,0.57,134.45,0,0,0,0,0,0,0,27.35,0,9.69,0,0,0,0,6.89,0,0,0,0,21.91,0
 96-106,0,0,0,0,0,5.29,0,32.95,0,0,0,0,0,0,0,2.12,0,3.85,0,0,0,0,13.1,0,0,0,0,0,0.64
108-118,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,1.94,0,12.07,0,0,0,0,2.95,0,0,0,0,0,0
120,0,0,0,0,0,3.09,0,7.19,0,0,0,0,0,0,0,4.74,0,0,0,0,0,0,1.15,0,0,0,0,0,0
