stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,186.24,3809.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.96,0,0,0,0,0,0,0
  5-6,47.81,547.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.11,0,0,0,8.83,18.5,0,0,0,0,0,0,0
  7-9,10.25,7.13,18.11,0,0,0,0,0,0,0,4.63,0,0,0,0,0,0,0,61.89,0,0,0,14.23,0,148.71,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.56,0,0,0,0,0,5.62,0,0,0,0,0,0
 14-21,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,1.12,0,1.49,7.14,0.87,0,0
 24-34,0,0,0,0,0,3.37,0,0,0,0,0,0,0,11.41,1.08,0,0,0.99,16.94,1.71,1.12,0,0,0,0,0,0,25.41,0,0,0
 36-46,0,0,0,0,0,8.63,0,0,0,0,0,0,0,14.27,0.59,0.87,1.4,0,22.1,0,0.75,0,0,0,0,0,0,39.25,1.01,0,7.42
 48-58,0,0,0,0,0,57.58,0,0,3.35,0,0,0,0,60.53,4.33,0.48,2.84,0,43.1,0,1.36,0,0,0,0,0,0,10.04,0,0,0
 60-70,0,0,0,0,0,241.46,0,0.88,11.66,0,0,0,0,71.92,7.25,0,11.7,1.33,85.81,0,2.38,2.15,0,2.29,0,3.46,0,8.5,2.92,0,0
 72-82,0,0,0,0,0,568.73,0,0,16.25,5.25,0,6.58,0,85.98,19.43,2.73,13.63,0.82,184.43,0,0.84,1.95,0,0,0,1.95,0,9.67,0,0,0
 84-94,0,0,0,1.99,0,501.78,0,0,5.69,0,0,0.87,0,69.88,8.72,0,13.22,0.99,109.3,0,3.44,0,0,4.3,0,0,0,15.25,0,0,0
 96-106,0,0,0,0.78,3.97,682.5,0,0,9.5,0.62,0,2.33,0,87.33,18.35,0,27.99,0,101.03,0,19.25,1.58,0,0,0,8.23,0,12.9,4.62,2.34,0.75
108-118,0,0,0.74,1.49,0,594.22,0,0,14.4,0.88,0,0,0.85,98.3,11.26,6.47,19.77,0,147.99,0,6.47,0,0,1.85,0,1.91,0,9.45,1,0,0
120,0,0,0,3.86,0,479.15,2.41,0,8.12,0,0,1.22,0,53.49,14.51,0,3.11,0,164.91,0,20.36,1.61,0,0,0,3.15,0,8.02,0,0,0
