stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,59.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,51.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,65.22,0,0,0,14.43,0,8.66,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.43,0,0,0,36.78,0,0,0,0,0,3.51,0,0,0,0
 14-21,0,0,1.01,4.02,3.22,0.81,0,0,0,0,0,0,0,0,0,5.48,0,0,0.81,19.9,0.85,1.44,0,0.91,0,0,0.95,0,1.89,4.91,0,0,0,0
 24-34,0,0.84,0.67,1.74,0,2.4,0,0,0,0,0,0,0,0,0,2.45,0,0,1.46,61.66,0.68,1.63,0,0,1.79,0,0,0,0,4.42,0,0,0,0
 36-46,0,0,0,0,0,17.2,0,0.75,2.12,0,0,0,0,0,0.61,3.61,0,0,0.68,126.5,0,1.46,0,0,1.93,0,0,2.13,0,23.66,0,0.65,0,0
 48-58,0,0,0,2.17,0,15.74,3.45,0,6.01,0,0,0,0,0.48,0,10.05,0,0,0.38,104.58,0,0,0,0,3.81,0,0,0,0,20.96,0,1.33,0,0
 60-70,0,0,0,0,0,20.94,0,0,1.25,0,0.98,0.58,0,0,0,6.08,0,0,0,70.05,0,0,0,0,0.57,0,0,9.88,0,1.63,0,0,0,0
 72-82,0,0,0,0.72,0,26.97,0,0,8.25,0,0.55,0.57,0,0,0,15.79,0,0,1.1,89.8,0,0,0.55,0,0,0,0,0,0,12.04,0,0,0,3.79
 84-94,0,2.21,0,3.06,0,43.26,0,0,7.78,2.65,0.65,0.68,0,0,1.19,18.68,2.16,0,1.12,67.09,0.62,1.54,0,0,7.27,0,0,0,0,17.72,0,0.59,1.06,0
 96-106,0,1.37,0,1.63,0,32.05,1.21,0,7.42,0,0,1.31,0,0,0,9.31,0,0,1.72,92.81,0,3.51,1.9,0,3.4,0,0,0,0,6.18,0.61,0.68,0,0.86
108-118,0,0.79,0,1.74,0,79.07,0.95,2.69,20.92,0,2.22,0,1.06,1.8,1.13,13.54,0,0,0,90.62,0,8.35,1.59,0,0.68,0,0,0,0,1.12,0,2.26,0,3.42
120,0,0,0,1.65,0,82.16,1.62,0,19.9,1.26,0,0,0,1.77,0,20.93,0,11.39,0,131.95,9.78,0,9.06,0,0,0,0,0,0,9.86,0,4.54,0,0
