stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,46.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.27,73.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.37,0,0,0,0,0,0,0,0,0,0,0,30.5,0,0,0,17.94,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.52,0,0,0,5.11,0,4.36,0,0,0,0
 14-21,0,0,0,3.66,1.13,0,0,0,0,0,7.08,0.83,0,3.29,1.04,0.91,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,2.57,0,2.03,0,0,0,0,0,1.77,0,0,3.01,0,0,0,0,5.23,0,2.57,0,0,0
 36-46,0,0,0,1.28,0,0.75,0,0,0,0,0,2.49,0,0.86,36.06,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,3.65,0,1.45,0,0,0,1.59,0,0,36.56,0,0,0,0,7.18,0,0,0,0,0
 60-70,0,0,0,2.51,0.81,41.95,0,0,0,0,0,0,0,0,57.49,0,1.1,0,0,0.64,0,0,0,0,0
 72-82,0,0,0,0,0,273.85,0,6.1,1.07,1.39,0,3.64,0.83,0.89,120.14,0,0,0.99,0,0.94,0,2.6,0,0,0
 84-94,0,0,0,0.63,0,332.64,0,1.26,0,1.06,0,2.73,0,0,130.37,0,0,0,0,10.36,0,0.74,4.45,0,0
 96-106,0,0,0,1.04,7.09,402.54,1.02,9.7,1.64,0.63,0,2.52,0,0,144.74,0,0,0,0,11.35,0,1.43,4.77,0.96,1.13
108-118,0,0,0,0,0,585.47,0,10.6,1.29,5.3,0,2.64,7.15,0,202,0.69,0,0,0,5.95,0,10.51,0,0,2.33
120,0,0,0,0,3.93,343.35,0,68.93,0,2.51,0,11.22,0,9.7,324.67,0,3.27,0,0,2.9,0,0,0,0,8.94
