stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,115.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,116.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.91,0,0,0,0,0,0,0,0,0,32.37,0,0,0,0,0,0,0,0,0,0,0,130.88,9.04,0,10.42,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.3,0,0,29.53,0,0,5.62,0,0,0,0,0,0
 14-21,0,0,0,0,0.97,0,1.92,0,0,0,0,0,0,0.85,0,0.91,0,0,0,0,2.19,0,0,0.84,6.7,0,0,0.82,0,1.83,0,0.88,0,0,0,0,2.62
 24-34,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,2.83,0,0,0.67,1.84,2.16,0,0,0.82,7.82,0,0,0,0,0,4.63,0,0,0,1.56,0,0
 36-46,0,0,0,0,0,0,0.78,1.61,0,0,0,0,0,0,0,0,0,0,0,15.68,0,0,0,0,2.87,0,0,0,0,0,6.67,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,6.98,0,0,0,0,0.84,0,0,0,0.44,0.85,0,0,17.54,2.04,0,0,0.5,3.35,0,0,0,0,0,0.76,0,1.33,0,0.67,0,0
 60-70,0,0,0,0,0,0,8.97,0,0,1.47,5.18,6.19,0,0,0,0,26.11,0,0,15.13,2.06,3.06,0,0,5.2,0,2.14,0,0,0,5.17,0,0,0,4.53,0,0
 72-82,0,0,0,0.69,0.49,0,27.47,0,1.14,0,2.1,5.12,0,0,0,0,43.69,0,7.8,15.64,3.81,0,0.67,0.72,21.67,0,2.27,0,0,0,4.13,0,0,0,1.38,0.59,21.7
 84-94,0,1.43,0,0,0,0,24.2,0,0,0,4.4,8.76,0,2.23,3.56,1.88,22.34,0,0,45.99,2.85,0,1.13,0,7.66,0,1.84,0,0.72,0,17.84,0,3.71,0.56,0.6,0,0.82
 96-106,0,0,0,1.41,2.88,0,17.49,0,0.65,0,0.67,16.89,0,0.58,0,0,7.94,2.01,0,7.7,1.17,2.72,0,1.06,24.98,0,2.77,0,0,0,19.65,0,0,0,2.77,0,5.21
108-118,0,0,0,0,1.43,0.5,19.87,0,0,2.56,0,11.64,0,0,0,1.16,15.62,0,0.71,33.58,7.45,0,0,0,8.75,0,0,0,0.63,0,16.24,0,0,0,0.61,0,19.4
120,0,0,0,7.13,1.65,0,2.79,0,0,1.69,2.64,50.07,0,7.84,0,2.26,9.75,0,15.64,13.24,2.39,0,0,5.15,37.72,0,0,0,0,0,21.65,0,0,0,15.36,0,3.6
