stage,blastomeres,epidermis,eye,glial,mesenchyme,neural,olfactory,paraxial.mesoderm,spinal.cord
  3-4,40.26,0,0,0,0,0,0,0,0
  5-6,7.02,0,0,0,0,18.07,0,0,0
  7-9,0,0,0,0,0,4.07,0,3.96,0
 10-12,0,0,17.09,0,0,33.1,0,0,0
 14-21,0,0,0,0,0,10.03,0,0,0
 24-34,0,0,0,0,0,6.98,2.14,0,4.94
 36-46,0,0,1.56,0,0,32.03,3.29,0,8.83
 48-58,0,4.6,5.23,1.71,1.26,56.94,2,0,8.83
 60-70,0,0,6.5,0,0,55.79,0,0,8.38
 72-82,0,0,4.92,0,0,30.09,0,0,2.67
 84-94,0,0,10.27,0,5.41,50.77,9.15,0,0
 96-106,0,0,0.74,0.87,0,2.56,0,0,0
108-118,0,0,0,2.14,0,19.27,0,0,0
120,0,2.51,11.93,0,0,48.45,0,0,0
