stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,61.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.5,0,0,0,0,0,0,0,0,0,0
  5-6,98.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.18,0,0,0,0,0,283.73,0,0,0,0,0,0,0,0,0,0
  7-9,11.07,0,46.48,0,0,0,17.64,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,120.72,0,0,0,26.57,0,64.53,6.96,0,0,0,0,0,0,0,0,0
 10-12,0,0,25.6,0,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.87,0,0,0,13.58,0,13.69,3.78,0,8.35,0,0,0,0,0,0,0
 14-21,0,0,1.89,553.14,0,0,2.47,0,7.17,0,0,3.47,0,0,0,6.68,0,0,0,0,5.83,1.19,0,0.84,49.12,0,0.96,0.81,0.82,0,136.72,0,2.56,6.24,0,1.82,0,0,6.75,0,0
 24-34,0,0,2.02,370.92,0,0,4.93,0,50.21,0.88,0.65,0.74,2.59,3.12,2.67,30.03,0,2.04,4.01,0,10.82,5.4,0,10.01,72.03,1.66,0.98,0.68,0,0,332.22,0,0,31.7,0,14.07,0,0,11.87,0,0
 36-46,0,0,0,311.86,0,0,4.86,0,45.8,1.8,1.97,0,2.15,0,0,18.94,0,1.6,6.4,0,12.29,14.04,0.6,1.79,56.26,0,2.05,0,0,0,388.81,0,0,26.35,0,7.1,0,0,2.41,0,3.09
 48-58,0,0,0.5,203.24,0,0,13.72,2.23,68.35,14.42,0.78,5.15,17.88,1.97,4.1,10.13,0,3.93,0,10.14,27.91,4.48,0.74,2.88,79.51,1.9,2.83,1.59,0,0.4,212.14,0,0,20.85,0,9.39,0,0,4.55,0,9.08
 60-70,0,0,0,156.9,0,0,30.36,0,69.18,14.84,5.28,4.21,16.74,0.88,1.16,15.28,2.06,3.47,0,11.98,41.1,8.85,0.85,1.17,56.38,0,0.89,1.84,0,0,207.1,0,0,7.78,1.84,1.48,0.61,3.74,7.1,0,34.11
 72-82,0,0.78,0,117.43,0.5,0,18.85,0,61.73,18.39,3.92,10.6,0,0.98,17.51,13.17,0,4.19,0.72,0.57,48.94,9.93,2.04,6.02,47.69,0,2.03,4.95,0,0,165.6,0,0,8.72,0,8.01,2.58,2.12,9.48,1.09,0
 84-94,0,1.65,0,255.71,4.53,0.76,13.35,0.56,75.29,14.6,6.66,23.35,0,0,18.32,24.6,1.32,1.03,3.19,2.81,38.37,10.64,3.75,6.14,22.13,0.9,1.55,2.22,0,0,361.4,0,0,19.34,0,2.98,8.19,1.17,6.24,5.25,0
 96-106,0,2.88,1.03,250.13,0,0,24.23,0.67,70.71,7.31,5.04,31.89,0,1.39,16.29,21.34,0,4.01,2.47,2.76,33.2,18.09,2,2.03,56.02,0,7.83,3.76,0,2.63,240.7,0,0,12.65,0,0,5.76,3.31,11.25,0.62,5.67
108-118,0,0.41,0,299.01,0,4.29,17,0,115.1,8.07,12.16,44.97,0,0,14.5,48.44,1.07,4.91,19.06,9.53,52.21,18.95,0.98,2.73,39.45,0.86,8.42,1.55,0,0,273.79,0,0,14.36,0,0,9.58,2.34,9.98,0,3.53
120,0,0,0,164.95,11.92,0,22.33,0,49.93,5.72,2.84,24.81,0,0,18.83,29.37,3.04,0,9.25,1.33,9.32,1.56,7.38,1.12,15.06,0,2.94,2.45,0,0,145.4,0,0,17.88,0,0,1.28,2.71,6.75,0,17.9
