stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,iridophores,liver,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,272.89,2325.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.13,0,0,0,0,0,0
  5-6,75.51,1004.53,10.71,0,0,0,0,0,18.67,0,0,0,0,201.84,0,0,15.36,0,0,0,0,0,0,0
  7-9,14.23,0,14.97,0,12.56,0,0,0,23.26,0,0,0,0,137.31,4.97,0,39.26,7.16,333.08,0,0,0,0,0
 10-12,0,16.97,0,0,3.4,0,0,0,0,0,0,0,0,40.57,9.79,0,0,0,141.98,0,0,0,0,0
 14-21,0,0,0,5.54,1.25,0,0,0,0,0,0,0,0,15.64,1.62,0,0,0,16.99,3.07,1.93,1.02,0,0
 24-34,0,0,0,1.3,1.19,0,0.63,0,0,0,0,1.48,0,1.52,0,0,0,0,2.15,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.8,13.31,0,0,0,0,5.82,0,0,0,2.41,0
 48-58,0,0,0,0,0.46,0,0,1.8,0,0,0,0,0.42,1.19,0,0,0,0,1.63,0,0,0.75,0,0
 60-70,0,0,0,1.42,1.52,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,4.06,0,0,0,0,0,0,0,0,11.36,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.66,0,0,0,0,0,0.64,0,0,0,1.91,0,0,0,0.68,0,0,0,0,0,0
 96-106,0,0,0,4.81,0.75,0,0,0,0,0,0,0,0,2.3,0,0.85,0,0,3.79,0,0,0,0,2.21
108-118,0,0,1.47,2.02,1.55,0.52,0,0,0,0.59,1.07,0,0,4.35,0,0,0,0,2.66,0,0,0,0,3.28
120,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91,0,0,0,0,3.07,0,0,0,1.96,0
