stage,blastomeres,epidermis,eye,glial,ionocyte,mesenchyme,muscle,neural,periderm,pronephros,spinal.cord,taste
  5-6,7.51,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.41,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.42,0.83,13.45,0,0
 36-46,0,0,0.7,0,0,0,0,0.96,0,11.31,0,0
 48-58,0,0,0.4,0,0,0,0,2.45,0,0.71,0,0
 60-70,0,0,2.32,0,0,0,0,0,0.86,0,0,0
 72-82,0,0,1.52,1.8,0,1.35,1.28,0,1.54,0,0,0
 84-94,0,0,1.93,0,0,0.87,0,1.24,3.4,0.6,0,0
 96-106,0,2.06,0,0,0.88,2.5,1.42,0,3.31,0.84,6.6,0
108-118,0,2.03,0.46,0,2.53,0,0,0,18.36,1.62,0,0
120,0,0,0,0,0,0,0,0,1.06,0,0,1.99
