stage,axial,blastomeres,endoderm,epidermis,eye,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,9.78,57.94,0,0,0,0,0,0,11.29,0
  5-6,0,79.91,0,0,0,0,0,0,0,0
  7-9,0,0,3.47,0,0,0,10.49,5.54,0,0
 10-12,0,0,0,0,0,0,21.47,16.67,0,0
 14-21,0,0,0,0.83,0,1.07,2.79,0,0,0
 24-34,0,0,0,0,0.6,0,6.62,0,0,0
 36-46,0,0,0,0,0.76,0.77,7.23,0,0,0
 48-58,0,0,0,0,0.42,0,2.14,0,0,0.63
 60-70,0,0,0,0,0,0,0.68,0,0,0
 72-82,0,0,0,0,0,0,0.96,0,0,0
 84-94,0,0,0,0,0,0,4.23,0,0,0
 96-106,0,0,0,0,0,0.9,0,0,0.57,0
108-118,0,0,0,0,0,1.05,0,0,0,0
