stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,11.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.86,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,10.18,0,0,13.29,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,13.98,0,0,0,0,3.03,0,0,0,0,0,0,0,19.98,0,0,9.94,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.49,0,0,0,0,0.85,0,0,0,0,117.04,0,0,0,14.14,0,1.28,0,0,0.98,1.89,0,3.86,4.43,0,0
 24-34,0,1.02,1.44,0,3.24,0,0,1.99,0,0,9.85,0,0,440.13,0,3.73,0.77,18,1.63,0,0,0,0,0,1.55,0,6.51,0,0
 36-46,0,0,0,0,7.19,0,0,0,0.61,0,0,0,0,200.17,0,0,0.56,38.3,0,0,0,0,0,0,0,0,1.67,0,0
 48-58,0,0,0,0,13.49,0,0,0,0,0,0,0,0,138.58,0.58,1.79,0.41,15.23,0,0,0,0,0,0,0,0,7.55,0,0
 60-70,0,0,0,0,8.29,0,0,1.08,0,0,0,0,0,80.83,0,1.69,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.84,0,0,0.62,1.92,0,0,0,0,18.88,0,0.62,0,0,0,0,0,0.53,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.42,0,0,0,0.66,0,1.99,0,0,6.37,0,1.41,0,10.89,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,8.27,0,0,5.41,59.89,0,5.85,0.81,0,7.35,0,0,0,18.28,0,0,0,0,0,1.29,0,0,0,0,3.14
108-118,0,0,0,0.69,2.45,0.44,0.66,1.28,311.02,0,0.79,0,2.62,25.94,0,0,0,21.24,0,0,0,1.18,0,0.92,0,0,0,0.52,0
120,0,0,5.51,7.19,0,0,0,15.38,576.71,0,3.8,0,0,3.23,3.89,21.63,0,45.11,0,0,0,0,0,0,0,0,0,0,0
