stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,152.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.26,939.42,0,18.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.33,13.91,0,0,13.59,14.25,0,0,0,0,0,0,0,0,0,0,0
  7-9,29.9,154.19,0,318.1,0,0,366.29,0,0,0,0,0,24.59,0,0,0,0,0,0,0,0,0,4575.84,90.56,0,0,1475.34,31.41,5.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,58.91,0,208.81,0,5.46,131.6,0,0,0,0,0,8.09,0,0,0,0,0,0,0,0,0,2637.48,51.53,0,0,692.33,3.81,5.62,0,58.47,0,66.61,0,0,0,0,0,0
 14-21,0,0,3.34,0.94,106.76,1.43,0,0,0,0,1.09,0,0,3.8,0,0,0,0,0,3.21,0,10.5,22.63,3.27,0,0,0.87,23.95,0,39.01,0,378.35,701.64,15.42,0,0,1.6,0,0
 24-34,0,0,5.49,0,36.3,0,3.59,89.66,1.46,0,1.82,0,0,3.19,0,0,0,0,0,6.02,0,22.23,100.72,2.77,0,0.68,0,19.21,0,0,0,122.18,460.45,14.73,0,0,0.77,0,0.72
 36-46,0,0,4.21,0,33.77,0,3.7,101.14,4.22,0,1.58,0,0,1.45,0,0,2.15,0,0,0.84,0.56,7.52,36.97,0,0,0.63,0,68.61,0,0,0,52.53,19.52,8.98,0,0,0.76,0,0
 48-58,0,0,0.88,0,49.96,0,8.29,45.32,2.78,0.57,1.41,0,0,2.27,0,0,0,0.39,0,6.59,0.52,8.82,34.19,0,0,0,4.77,31.62,0,0,0,11.53,0,9.9,0,0.37,4.83,0,1.34
 60-70,0,0,0,0,42.35,0,5.92,45.22,9.89,0,0,0,0,13.88,0,0,0,0.73,9.05,3.44,0,15.11,19.84,0,0,0,0,17.58,0,1.38,0,15.34,0,3.87,0,0,0.96,0,0
 72-82,0,0,1.52,0,23.9,0,7.55,28.88,5.39,0,0,0,0,0,0,0,0,0,0.49,7.53,0,6.57,18.35,0,0.73,0,0,7.07,0,0,0,1.79,0,3.32,1.69,0.88,11.55,0.83,0
 84-94,0,0,0,0,59.03,0,10.29,18.98,3.82,0,3.25,3.32,0,2.41,0,0.69,0,0,0,3.68,0,13.41,2.09,0,0,1.29,0,20.9,0,0,0,14.51,0,6.17,0,1.3,2.9,0,0
 96-106,0,0,0,0,63.98,0,9.57,17.62,10.69,0,7.5,2.08,0,3.18,0,0,0,0.66,0,7.03,0,12.63,17.98,0,0,0,0,5.87,0,0,0.7,6.77,0,6.34,0,0.77,8.18,0,0
108-118,0,0,1.72,0,87.65,0,15.15,22.12,4.67,0.52,6.18,0.45,0,0.51,0.85,0,0,2.34,0,6.91,0,4.14,20.15,0,0.45,0,0,2.99,0,0,0.61,7.09,0,4.29,0,1.57,0.54,0.68,0
120,0,0,0,0,48.7,0,8.2,21.01,1.44,0,0,0,0,1.15,0,0,0,0,0,0,1.16,12.86,23.97,0,0,0,0,3.76,0,0,0,2.35,0,0,0,1.52,0,0,0
