stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,100.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.31,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,41.38,0,0,0,24.38,0,0,0,0,0,0,0,0
 10-12,0,7.84,0,0,3.65,0,0,16.9,0,0,0,0,0,0,0,0,0,25.81,0,0,0,20.47,0,0,0,0,0,0,0,0
 14-21,0,0,2.05,0.86,0,2.74,0,0,0,0,0,0,0,0,0,0,1.96,20.96,1.54,0,1.2,0,1.21,2.91,2.66,9.26,0,0,0,0
 24-34,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,1.9,0,0.61,17.72,0,0,0,0,0,0,0,5.2,0,0,0,0
 36-46,0,0,0,0,1.61,1.14,0,0,0,1.11,0,0.62,0,0,0,0,0.58,26.57,3.05,0,0,0,0,0,0,9.08,0,0,0,0
 48-58,0,0,0,0,4.53,1.28,0,0,0,0,0,0,0,0,0.56,0,0,16.9,0,0,0,0,0,0,0,9,0,0,0.41,0.74
 60-70,0,0,0,0,4.01,1.88,0,0,0,0,0,0,0,0,2.09,0,0,11.27,0,0,0,0,0,0,0,0.89,0,0,0,0
 72-82,0,0,7.39,0,10.92,0,0,0,0,0,0,0,0,0,0.55,0,0.92,8.41,0,0,0.67,0,0.58,0,0,0,0,0,4.19,0
 84-94,0,0,1.92,0,2.23,0,0,0,0,0,0,0,0,0,2.38,6.15,0,2.98,0,0,4.49,0,0,0,0,0,0,0,1.16,0
 96-106,0,0,14.85,0,2.8,4.04,10.79,0,0,0,0,0,0,0,1.57,0,0,1.45,0,0,2.63,0,0,0,0,0,0.61,0,0,0
108-118,0,0,31.36,0.46,3.72,0.55,6.32,0,1.71,1.31,0.56,0,4.42,0.64,0,0,0,5.92,0,1.56,0,0,0,0,0,0,0,1.37,0,0
120,0,0,21.85,0,4.36,0,10.27,0,3.72,0,0,0,0,0,0,0,0,5.77,0,0,0,0,0,0,0,0,0,0,5.44,0
