stage,epidermis,eye,glial,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,periderm,presomitic.mesoderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,4.34,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.01,1.06,0.92,0
 24-34,0,0,0,0,0.86,0,0,0,0,0,16.73,0,0,0
 36-46,0,2,0,0,0.6,0,0,0,1,1.49,16.08,0,1.02,0
 48-58,0,0.37,0,0,0,0,0.53,0,0,0.42,10.33,0,0,0.56
 60-70,0,1.08,0.69,0.59,0,0,0,0,0,0,19.94,0,0,0
 72-82,0,0,0.94,0,4.15,0,0,0,0,4.26,10.38,0,0,0
 84-94,0,0,0,0.76,0,0,0,0,0,0,39.37,0,0,0
 96-106,6.01,1.44,0,0.56,0,0,0,0,0,2.89,46.56,0,0,0
108-118,1.18,0.7,0,2.02,0,7.04,0,1.28,0,0,30.21,0,0,0
120,13.22,0,0,4.13,0,0,0,0,0,0,37.15,0,0,0
