stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,26.91,341.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.22,615.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,8.03,0,0,0,0,0,0
  7-9,5.58,34.64,4.2,0,0,0,17.34,0,0,0,0,3.35,0,0,0,0,0,0,0,0,283.02,12.04,0,0,78.59,0,0,0,0,0,0
 10-12,0,5.59,7.1,0,0,0,11.53,0,0,0,0,0,0,0,0,0,0,0,0,0,142.86,0,0,0,93.28,0,0,6.05,0,0,0
 14-21,0,0,0,3.55,0,0,1.29,0,0,1,0,0,0,0,0,0,0,1.19,0,2.93,21.11,3.79,0,0.88,0,0,0.82,0,5.98,0,0
 24-34,0,0,0,0.61,0,0,5.8,0,0.63,3.13,0,0,0,0,0,0,0,2.81,0,0,66.77,0,0,0,0,0,0,0,8.19,0,0
 36-46,0,0,0,1.18,0,0,13.57,0,0,0,0,0,0,0,1.37,0,0,3.22,0,0.72,37.2,0,0,0,0,0,0,0,12.3,0,0
 48-58,0,0,0,0,2.21,0,18,1.3,0,8.75,0,0,6.26,0,0,0,0,7.81,0.38,0.4,36.34,0,1.27,0,0,0.68,0,0,2.59,0,0.48
 60-70,0,0,0,0,0,0,11.37,0,0,5.01,0,0,0,0,0,2.05,3.05,6.14,9.41,0,32.46,0,0,0,0,0,0,0,1.6,2.3,0
 72-82,0,0,0,0,0.55,0,14.68,0,0,1.55,0,0,0,0,0,0,0,3.33,0,0,14.32,0,0,0.59,0,0,0,0,0,2.51,0
 84-94,0,0,0,0,0,0,14.58,0,0,1.21,0,0,0,0.8,0,0.81,0,3.35,0,0,21.88,0,0,0,0,0.8,0,0,0.82,2.23,0
 96-106,0,0,0,1.43,0,0,1.88,0,0.72,1,1.19,0,0,0,0,0,0,0,0,0,3.94,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.43,0,0.55,3.02,0,0,0.97,0,0,0.51,0,0,0,0,1.55,0,0,10.19,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.22,0,0,7.29,0,0,0,0,0,0,0,0,2.13,0,1.77,0,0,14.2,0,0,0,0,0,0,0,0,0,0
