stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0,0,0,0
  5-6,7.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.71,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0,0,3.79,24.47,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.04,0,0,0,0,0,0,0,0,0,0,50.32,0,0,16.8,0,0,0,0,0,0,0,0,0
 14-21,0,2.49,1.13,1.78,3.21,0,0.81,0,0,0,1.1,0,1,0,0,0,0,0,9.81,0,0,5.29,2.42,0.95,0,0,0,3.05,0.81,4.23,2.6,5.94,0,0,0,0
 24-34,0,6.99,0,0,0.76,0,1.44,0,0,0,2.53,0,0,5.37,0,0,0,0,4.25,0,0,10.33,37.07,0,0,1.16,0,5.34,0,12.27,2.91,14.46,0,11.59,0,0
 36-46,0,2.2,0,0,0,0,1.79,0,0,0,0,0,0,1.61,0,13.81,0.61,0,2.44,0,0,1.16,84.01,0,0,0,0,3.9,0,3.34,0,15.2,0,7.13,0,0
 48-58,0,0,0,0.74,0,0,9.92,0.6,0,1.53,0.95,0,0.75,0,0,6.65,0,0,10.19,4.18,0,1.01,88.26,0,0,4.81,0,6.46,0,1.64,0,12.73,0.37,2.89,0,0
 60-70,0,1.52,0,4.54,0,0,3.95,0,1.83,0.8,0,0,0,0,0.63,18.2,0.77,0,13.12,0,0,0,73.66,0,0,3.81,0,0,0,3.39,0,4.22,0,0,0,0
 72-82,0,2.48,0,0,0,0,4.08,0,0,3.99,4.12,0,2.43,0,0,30.08,0,0,12,0.88,0,0,93.98,0,0,4.01,0,0.49,0,2.17,0,7.16,0,6.37,1.49,0
 84-94,0,1.04,0,6,0,0,3.38,0,0,0.58,2.6,0,3.5,0,0,41.88,0,5.31,12.77,3.26,7.82,0,75.02,0,0.7,1.98,0,1.14,0,28.45,0,8.78,0,6.62,0,9.62
 96-106,0,0.94,0,5.22,1.71,1.93,3.26,0.9,0,0,8.78,0,0,1.55,0,88.19,0,0,25.13,2.08,0,0.97,60.16,0,0,4.37,0,1.47,0,6.23,0,3.79,0,4.72,0.91,0
108-118,0,1.28,0,8.55,0.7,0,30.87,0,0,1.03,5.06,1.04,0,0,0,79.89,2.87,0,10.95,1.08,0,0,84.71,0,1.1,18.23,0,0,0,12.25,0,0,0,6.56,0,0
120,0,15.88,0,4.53,2.46,0,23.17,0,2.34,0,0,0,0,0,0,72.09,0,0,22.15,1.56,0,8.89,75.17,0,0,9.82,0,0,0,9.16,0,0,0,0,0,0
