stage,eye,glial,mesenchyme,mural.cell,muscle,neural,olfactory,otic,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,1.1,0,0
 24-34,0,0,0,0,0,5.69,0,0,0.62,0,0
 36-46,0,0,0,0,0,4.04,0.56,0,1.87,0,0
 48-58,7.35,0.78,0,0,0,19.98,0,0,6.61,0,0
 60-70,19.88,0,0,0,0,22.49,0,0,4.95,0,0.78
 72-82,0.7,0,0,0,0,14.56,0,0,20.92,0,0
 84-94,7.62,0.63,3.93,0,0,26.11,1.78,0,1.62,1.47,0
 96-106,1.03,5.51,0,0.76,0,10.41,0,0,0,0,0
108-118,18.68,2.18,6.22,0,0,30.9,0,1.02,0,0,0
120,19.72,0,0,0,2.35,25.5,0,0,0,0,0
