stage,axial,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,presomitic.mesoderm,spinal.cord
  7-9,0,3.59,0,0,0,0,0,0,0,0,3.25,0,0,5.95,0,0
 10-12,4.89,0,0,0,10.84,0,0,0,0,0,0,5.66,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0
 24-34,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0.69
 36-46,0,0,1.83,0,0,0,0,0,0,0,11.17,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,0,1
 60-70,0,0,0,1.4,6.39,0,0,0,0.65,0.6,2.48,0,0,0,0,0
 72-82,0,0,0,0,3.6,0,0,0,0,0,6.18,0,1.31,0,0,0
 84-94,0,0,0,0,0,0,0.99,0,0,0,1.37,0,0,0,0,0
 96-106,0,0,0,0,5.74,2.05,0,0,0,0,3.34,0,0,0,0,0
120,0,0,0,0,0,0,0,1.93,0,0,0,0,0,0,0,0
