stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,106.79,2171.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.62,0,0,0,0,0,0,0,0,0
  5-6,80.77,487.39,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,25.85,0,0,0,0,0,0,0,0,0
  7-9,4.99,6.38,0,0,0,0,0,0,0,0,0,17.16,0,0,0,0,0,0,0,0,0,59.61,0,0,0,13.19,0,0,7.32,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.78,0,0,0,5.91,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.8,0,6.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0
 24-34,0,0,0,0,2.27,0,1.08,0,0,0,0,0,0,0,0,0,0,0.65,0,0,2.91,73.34,0,0,0,0,0,0.98,0,0,0,23.63,0,0,0,0,0
 36-46,0,0,0,0,0.76,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.06,0,0,0,0,0,0,0.78,0,0,54.4,0,0,0,0,0
 48-58,0,0,0,0,1.25,0,152.66,1.04,0,14.05,0.41,0,0,0,0,0,0,2.8,0,0,0.52,356.36,0,0,0,0,0,0,0,0,0,32.92,0,0,0,0,0
 60-70,0,0,2.72,0,1.15,0,770.71,0,1.14,72.97,0,0,0,1.16,0,0,0.72,30.66,0,0,0,957.26,0,0,6.8,0,0.71,0,0,8.15,0,42.08,0,0,0,0,13.23
 72-82,0,0,0.5,0,1.51,0,1285.76,0,6.3,75.37,0,0,0,0,1.42,0.66,0,19.85,0,1.43,2.52,1315.19,0,2.22,0,0,0,2.98,0,7.46,0,34.84,0,1.75,1.97,0,0
 84-94,0,0,0,0,1.46,0,1014.53,0.8,3.92,101.39,0,0,2.1,0,0,0,0,17.13,0,3.48,0.7,1020.57,0,0,2.67,0,0,0,0,15.74,0,17.85,0,0,0,2.93,0
 96-106,0,0,0,1.17,9.97,1.1,786.34,0,1.61,100.13,4.27,0,0,0,1.06,0,0,7.26,0,0,1.31,972.33,0,2.35,2.08,0,0,1.38,0,17.11,0,10.33,0,0,0,0,0
108-118,0,0,0,0,23.62,0,850.32,0,3.15,115.79,0,0,0,0,0,0,0,16.35,0,0,5.73,1056.34,0.72,1.13,0,0,0,3.27,0,23.73,0,12.09,1.77,1.26,5.93,2.47,0
120,0,0,0,0,24.49,0,1110.99,1.55,0,215.31,14.21,0,0,0,2.22,0,0,31.72,3.54,7.27,1.64,1789.21,0,2,0,0,4.48,3.78,0,12.04,0,56.53,0,0,2.09,0,0
