stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,glial,immune,ionocyte,liver,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,xanthophores
  3-4,12.98,171.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.28,0,0,0
  5-6,45.45,180.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,0,0
  7-9,0,0,3.4,0,0,8.55,0,0,0,0,0,0,29.49,4.71,0,0,15.14,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,19.75,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.91,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,9.88,0,0,0,0,1.93,34.96,2.84,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,14.07,0,12.29,0,0,0,26.01,0.92,2.5
 48-58,0,0,0,0,0,0,0.75,0,0,0,0,0,0.73,0,6.51,0,0,0.66,12.26,0.9,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,10.32,0,18.2,0,0,0,34.52,0.69,0
 72-82,0,0,0,0,0,4.74,2.07,0,0,0,0,0,1.02,0,16.26,0,0,0,3.72,0,0
 84-94,0,0,0,0,0,1.38,0.66,0.64,0,0,0.59,0,0,0,32.01,0,0,0,19.6,0,0
 96-106,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,24.78,0,0,0,11.99,0,0
108-118,0,0,0,0.54,0,1.34,0,0,0,2.34,0,0.95,11.02,0,18.94,1.22,0,2.21,17.61,0,0
120,0,0,0,0,0,3.51,0,0,6.15,0,0,1.66,0,0,24.24,0,0,0,35.22,0,0
