stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,219.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.21,0,0,0,0,0,0,0,0,0,0
  5-6,6.17,237.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,24.24,0,0,0,0,0,3.41,0,0,0,0,0,0,0,0,0,0,0,161.54,3.63,0,0,61.21,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.45,19.04,0,0,0,248.02,0,0,0,0,0,0,0,0,0,0,0,15.95,0,0,0,0,0,2988.61,0,0,0,69.59,0,0,20.67,0,0,0,0,0,0,0,0
 14-21,0,0,0,257.76,5.88,0,785.89,0,0,0,15.44,0,4.07,0,0,0,0,6.59,0,0,19.63,0,0,7.9,3557,1.54,64.02,215.85,1.79,6.24,7.82,3.38,0,6.58,41.11,0,0,0,0,0
 24-34,0,0,0.73,133.16,0.94,0,328.17,0,2.84,0.83,140.94,0,1.82,0.98,0,0.6,0.7,71.15,0,0,81.88,1.4,0,11.89,6703.75,0.7,253.49,149.83,0,3.69,0.97,0,0,4.73,44.61,0,0,5.97,0,2.64
 36-46,0,0,0,57.91,0,0,690.55,0,2.79,0,443.1,0,0,0.63,5.45,0,0,31.12,0,6.95,89.74,0,0,18.16,6683.78,1.14,163.71,75.5,0,15.67,0.9,0,0,0,68.27,0,0,0.94,0,5.47
 48-58,0.39,0,0,44.68,0,0,1141.78,0,2.84,0,403.34,1.92,0,0,7.36,0,10.44,33.21,0,0,138.29,1.05,0,17.12,4785.85,5.57,136.72,68.4,0,17.93,0.92,0,0.46,0,48.11,0,0,3.06,0,2.34
 60-70,0,0,0,35.78,1.47,0,2281.55,2.07,3.28,0.63,405.74,1.43,0,1.43,0.65,6.34,9.07,11.01,0,17.57,135.86,0,3.04,7.36,3385.66,0,77.55,61.73,0,3.33,0,0,0,0,35,0.61,0,0,1.55,3.11
 72-82,0,0,0,21.94,1.08,0.96,1265.76,0,0,0,444.06,3.02,0,0,0.65,4.62,0,33.81,0,0,199.88,6.51,2.91,2.68,2640.22,0.55,144.36,100,0,0,0,0,0,0,14.41,1.16,0.93,0.56,10.35,12.59
 84-94,0,0,0,49.12,0.83,0,1095.98,1.88,0.7,4.11,354.35,0,0,0,1.51,1.08,0,41.75,0,5.92,145.55,1.18,4.77,1.7,2135.69,2.32,114.39,95.3,0,7.47,0,0,0,0,24.25,3.4,2.14,1,3.73,3.06
 96-106,0,0,0,51.11,6.92,1.97,838.04,0,0.59,4,375.87,1.44,0,0,0.63,0.88,0,20.46,5.21,0,101.87,1.42,2.81,6.58,1678.37,0,145.07,144.65,0,8.93,0,5.05,0,0,0.86,0,2.32,0,0,11.5
108-118,0,0,0,43.1,2.35,0.69,873.08,0.45,0,0,489.64,1.85,0,0,0,0.51,1.03,31.93,1.52,0,147.44,0,0,2.37,2397.05,2.64,125.62,118.13,0,7.01,0,0,0,0,1.21,2.07,0,0,0.92,0
120,3.94,0,0,91.26,0,0,846.69,1.18,0,0,940.06,1.61,0,0,9.37,47.97,6.33,25.7,0,0,237.87,0,2.76,0,3293.95,0,151.39,118.52,0,6.61,0,7.26,0,0,39.84,0,3.8,0,0,8.94
