stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,mesenchyme,mucous,neural,olfactory,periderm,spinal_cord,vasculature
 14-21,0.92,0.84,0,0,0,0,0,0,0,1.26,0,0,0,0
 24-34,1.28,0,0,0,0,0,0,0.85,0,3.51,0,0,0.62,0
 36-46,0.84,0,0,0,0,0,0,0,0,1.42,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.39,7.99,0,0,0.52,0.42
 60-70,0,0,12.56,0,0,0,0,0,0,15.34,0,1.48,0,1.96
 72-82,0,0,3.8,0.68,0,0,0,0.53,0,0,0.91,0,3.36,0
 84-94,1.53,0,18.3,0,0,0,0,0,0,4.22,0,0.63,0,0
 96-106,0,0,50.18,3.4,1.14,0,0.8,0,0,0,0,4.23,0,0
108-118,0,0,7.72,0,4.27,0,0,2.08,0,5.17,0,1.77,0,0
120,1.53,0,14.35,0,3.68,3.55,0,0,0,4.46,0,0,0,0
