stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,10.2,30.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.02,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.05,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.83,2.49,0,0,0,0,0,0,0,0,0.8,0,0,0,0,3.06,0,12.24,0,0,1.8,0,2.4,0,0,8.4,0,0,0
 24-34,0,0,0,0,0,0,8.29,0,0,0,0,0,0,0,0,0,0,0,1.6,0,59.29,12.06,0,0,0,0,0,0.7,5.02,0,0,2.37
 36-46,0,0,0,0,0,0,1.99,0,0,2.24,0,0,0,0,0,0,5.07,0,6.74,2.61,173.15,7.16,0,0,0.84,0,0,0,25.88,0,0,0.67
 48-58,0,0,0,0,0,0,13.12,0,0,6.48,0,0,7.69,0,0,0,0,0,9.04,1.66,361.48,9.07,0,0,0,0,0,0,20.88,0,0.51,0
 60-70,0,0,0,0,0,0,79.29,0,0,10.28,0,0,0,0,0,1.41,0,0,2.3,0,456.53,9.99,0,0,0,0,0,0,37.91,0,0,2.92
 72-82,0,0,0,0.84,0.95,0,61.36,0,0,13.07,0,0,0,0,5.83,0,0.99,3.49,11.07,0,604.52,17.08,0.84,0,1.91,0,0,0,24.54,0,0,0.95
 84-94,0,0,0,5.2,0,0,42.41,0,2.65,8.88,0,2.05,0,0,0,0,0,0,15.42,0,494.57,10.78,0,0,0,0,0,0,50.06,0.9,0,0.83
 96-106,0,0,0,0,0,6.8,47.09,0.73,0,2.6,0,0,0,0,0,0,9.42,0,7.56,0,445.98,16.92,0,0,0,0,0.57,0,26.65,0,0,0
108-118,0,0,0.74,0.48,0,0,22.57,0,0,12.71,0.5,0,0,0,0,0.74,0.51,0,10.11,0,449.01,23,0.48,0,0,0,0,0,13.54,0,0,1.75
120,0,0,0,1.63,0,0,51.53,0,0,4.42,0,0,0,0,11.68,0,0,0,25.86,0,603.96,13.86,0,0,1.13,0,0,0,27.73,0,0,0
