stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,60.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.04,0,0,0,0,0,0,0,0,0
  5-6,148.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.84,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.93,0,0,0,22.09,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,139.94,7.77,0,0,25.72,0,8.05,0,0,0,0,0,0,0,0,0
 10-12,0,0,24.4,0,12.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.26,0,0,0,73.75,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,17.08,4.6,0,7.28,0,0,0,5.45,0,0,0,0,0,0,0,0,5.11,0,0,3.97,71.04,1.13,0,0,0,0,1.66,10.02,0.99,0,12.54,42.31,0,3.11,0,0
 24-34,0,0.8,5.34,5.42,2.11,0,28.15,0,1.23,1.84,6.58,0,0,4.44,1.42,0.6,0,0,0,14.68,0,0,18.45,248.8,1.78,6.79,0,1,0,0.68,0,1.04,0,2.81,71.07,0,5.2,0,0.69
 36-46,0,0,0,1.21,1.99,0,41.68,0,0,2.09,6.28,0,1.26,0,2.98,0,0,0,0,29.34,0,1.11,8.99,221.39,0.61,0,2.83,0,0,10.8,0,0.59,0,0,77.1,0,4.31,0,0
 48-58,0,0,1.75,1.63,0.59,0,79.7,0,0.37,0.97,11.38,0,0,0,8.9,0,0,1.25,0,46.89,0.7,0,11.34,170.77,0,1.69,0.93,0,0,0,0,0,1.46,0,56.09,0,2.07,0,13.44
 60-70,0,0,0,0.57,2.28,0,113.4,0,0,0,11.03,0,0,2.87,1.31,0,0,0.7,0,55.99,0,2.27,2.11,123.38,2.47,0,0,0,0,0.75,0,0.59,0,0,31.76,0,1.93,0,0
 72-82,0,0.69,0,1.68,21.87,0,92.71,0,1.13,2.7,26.71,2.12,0,0,5.87,0,0,0.64,1.95,56.1,0,1.43,6.4,125.46,4.77,0.93,1.45,0,0,0,0,0,0,0,14.93,0,24.59,0.85,0.99
 84-94,0,0,0,5.53,7.45,0,83.87,0,4.12,2.11,10.2,0,3.3,2.23,6.44,0.76,0,0,5.22,59.24,0,1.75,6.49,65.33,0,0,1.27,0,0.83,3.15,0,0.81,0,0,1.84,2.79,0.64,1.96,2.81
 96-106,0,0,0,13.22,17.34,0,44.45,0,0,0.84,26.83,0,0,0.61,15.2,0,1.2,0,1.97,44.61,0,5.96,2.82,78.03,0.73,0,0.62,0,3.48,0.95,0,0,0,0,14.55,1.78,8,2.43,0.86
108-118,0,0,0,21.59,23.15,1.32,53.73,1.09,8.67,0.77,12.9,3.2,0,0,10.84,0,5.83,0.41,0,59.39,0,0.46,3.62,127.05,0.69,0,4.35,0,3.1,3.76,0,0.75,0,0,1.41,3.95,8.17,0.44,4.23
120,0,0,0,4.42,0,0,40.74,1.18,1.28,0,18.01,5.11,0,0,11.16,0,0,0,0,90.08,0,0,9.86,106.88,0,0,3.16,0,0,2.5,0,0,0,0,17.42,0,0,0,0
