stage,axial,blastomeres,endoderm,eye,hatching.gland,neural,notochord,paraxial.mesoderm,pgc,somites
  3-4,0,576.27,0,0,0,0,0,0,0,0
  5-6,45.49,1144.72,6.55,0,0,48.32,6.07,12.34,0,0
  7-9,14.85,20.69,54.39,122.68,22.87,818.65,12.36,150.54,11.11,0
 10-12,0,10.07,24.67,72.19,0,330.54,0,90.9,14.45,4.75
