stage,blastomeres,epidermis,eye,glial,ionocyte,mesenchyme,mural.cell,neural,otic,paraxial.mesoderm,spinal.cord,vasculature
  3-4,13.1,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.79,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,32.33,0,4.02,0,0
 14-21,0,0,0.97,0,0,0,0,3.06,1.2,0,2.49,0
 24-34,0,0,0,0,0,1.02,0,23.66,0,0,2.89,0
 36-46,0,0,0.82,0,0,0,0,48.69,0,0,8.87,0
 48-58,0,0,2.8,0.58,0,0.96,0,101.09,0,0,12.69,0
 60-70,0,0,11.13,0,0,2,0,102.24,0,0,10.61,0
 72-82,0,0,17.2,1.72,0,1.09,1.08,85.62,0,0,15.48,0
 84-94,0,0,5.97,2.99,0,0,0,55.99,0,0,20.61,0
 96-106,0,2.84,3.85,0,1.12,0,0,64.22,0,0,6.67,1.07
108-118,0,1.82,10.75,0,0,1.41,0,41.04,0,0,0,0
120,0,0,0,0,0,0,0,63.53,0,0,0,0
