stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,0,19.63,0,0,0,0,0,0
 14-21,2.82,1.95,11,0,1.72,0,0,2.49,0.92,0,0,0,0,0,0,0,0,28.5,1.97,1.02,0,1.56,2.79,30.14,23.58,0,0,0.81
 24-34,0.84,0,0,0.67,0.62,0,0,0,0,0,0,0,1.78,0,0.62,0,0,31.93,0,0.67,0,0,0,0,17.89,0,0,1.13
 36-46,0,0,0,0,4.92,0,0,0,0,0,0,0,0.98,0,0,0,0,74.47,0,2.13,0.61,0,0.84,2.69,12.99,0,0,0.68
 48-58,1.52,0,0.37,0,10.15,0,0,0,0,0,0,0,0,1.39,0,0.97,0,131.91,0,1.76,0,0,0,0.39,19.63,0,0,0
 60-70,0,0,3.34,0,17.42,0,0,0,0,0,0,0,0,0,0,9.22,0,249.92,0,1.43,0,0,1.91,1.26,9.31,0,0,0
 72-82,0,0,0,0,7.64,0,0,1.23,0,0,0,0,0.63,0,0,16.23,0,273.56,0,2.93,0.54,0,0,0,1.76,0,0.5,0.97
 84-94,0,0,0,0,18.73,0,0,2.17,0,0,0,0,1.73,0,0,6.66,0,260.82,0,4.66,7.38,0,0.77,3.33,3.78,0,2.89,0.67
 96-106,0.83,0,1.22,0,27.09,0,0.98,2.58,0,0,0,1.06,0,0,0,1.26,0,212.11,0,3.4,0,0,1.85,2.25,10.07,2.08,0,0
108-118,0,0,1.35,0,17.38,4.79,0,7.44,0,0,1.42,0.76,0,0,0,9.59,0.88,370.63,0,2.93,0,0,0,1.36,9.37,0,0,0
120,0,0,9.25,0,19.51,0,0,0,0,0,0,0,0,0,0,29.83,0,561.33,0,1.09,0,0,0,0,6.16,0,0,0
