stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.57,7.8,0,0,0,0,0,0,0
 10-12,0,0,0,3.25,0,0,0,0,0,0,0,13.27,8.96,0,3.37,0,9.81,0,0,0
 14-21,0,0,0,1.06,0,0,1.22,0,0,0,0,15.15,0,1.41,0,0,32.96,0,0,0
 24-34,0,0.79,0,0,0,0,0,0,0,0,0,46.66,0,0,0.69,0.75,20.54,4.21,0,2.64
 36-46,0,0,0,0,0,0,0,0,0,3.68,0,25.88,0,0,0,0,16.87,0,0,0
 48-58,0,0.39,0,5.59,0,0.44,0,0,0,7.26,0,75.45,0,0,0,0,18.87,0,0,0
 60-70,0,1.15,0,15.47,0,8.39,0,0,0,16.33,0,74.44,0,0,0,0,1.82,0,0,0
 72-82,0,1.06,0,61.14,0,1.27,2.34,0,0.74,13.11,0,195.85,0,0,0,0,8.51,0,0,0
 84-94,0,1.98,0,19.09,2.38,0.87,0.69,1.36,0,7.2,0.69,67.97,0,0,0,0,7.61,0,0,0
 96-106,0,9.29,0,50.85,0.82,1.69,3.48,0,0,7.57,0,55.2,0,0,0,0,7,0,0.91,0
108-118,0,7.02,0,65.81,3.62,0,0,0,0,19.06,0.55,70.77,0,0,0,0,4.7,0,1.07,0
120,0,3.51,10.93,46.1,2.63,3.99,3.3,0,0,9.92,0,224.24,0,0,0,0,10.65,0,0,0
