stage,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vasculature
 14-21,0,1.34,1.28,0,3.16,0,1.64,0,0,0,0,0,0.81,0
 24-34,0,0,0,1.24,0,1.35,6.49,0,0,0,0,0,1.13,0
 36-46,0,0,0.62,0,0,0,22.54,0,0,0,2.54,0,3.3,0
 48-58,0,0,1.44,0.99,0,0,10.91,0,0,0,0,0,0,0
 60-70,0,0,0,0.68,0,0,7.13,0,0,0,0,4.67,0,0
 72-82,0,0,5.94,0.61,1.02,0,0,1.08,0,1.78,0,0,1.35,0
 84-94,0.89,0,1.09,0,2.67,0,9.35,0,0,0,0,0,0,0
 96-106,0,0,5.54,0,3.16,0,6.83,2.27,0.61,0,0,0,0,1.18
108-118,0,0,4.51,0,1.89,0,5.42,0,0,0,0,0,0,0
120,0,0,7.24,0,0,0,16.15,0,0,0,0,0,0,0
