stage,epidermis,exocrine.pancreas,eye,glial,gut,immune,lateral.line,liver,mesenchyme,muscle,neural,otic,pericytes,periderm,spinal.cord,taste,vasculature
 14-21,0,0,0.81,0,0,0,0,0,0,0,1.32,0,0,0,2.24,0,0
 24-34,2.79,0,1.22,0,0,0,0,0,0,0,15.16,0,1.14,4.56,2.08,0,0
 36-46,0,0,0,0.62,0,0,0,7.26,0.75,0.62,52.11,1.21,0,0,3.47,0,0
 48-58,1.3,0,3.12,1.36,0.91,0,0,0,0,0,31.36,0,0,8.56,2.47,0,0.41
 60-70,0.92,0,0,0,0,0,0,0,3.29,0,28.91,0,0,6.47,1.64,0,0.87
 72-82,0,0,4.24,3.14,0,0,0,0,1.32,0.7,92.63,0,0,2.91,6.14,0,0
 84-94,2.61,0,21.57,0.82,0,0,0,0,0,0,11.56,0,0,0.67,0,1.46,0.63
 96-106,0.56,0,25.87,9.44,0,0.56,0,0,0.99,0,29.15,0,0,0.6,0,0,0
108-118,0,0.47,9.91,2.59,0,0,0.69,1.8,6.07,0,16.8,0,0,0.43,0,0,0.43
120,0,0,21.12,16.72,0,8.17,0,0,3.64,0,119.95,0,0,13.55,0,0,0
