stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.82,177.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.77,167.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81,0,0,0,0,0,0,0,0,0,0
  7-9,19.4,11.08,0,7.1,0,0,0,0,0,0,0,0,4.43,0,0,0,0,0,0,0,0,0,0,78.61,0,0,0,36.54,0,4.29,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,0,0,39.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.65,18.43,0,0,36.73,0,0,0,7.42,0,0,9.29,0,0,0,0,0
 14-21,0,0,0,0.88,1.78,0,0.98,0,0,0,0,0.96,0,0,0,2.64,0,0,0,6.48,0.83,0,0.99,20.27,1.08,0,0,0,0,0,3.37,3,0.86,10.86,17.05,0,0,3.37,0,0
 24-34,0,0,1.91,0.64,4.61,1.24,6.86,0,0,0,1.88,0,0,4.48,0.6,5.66,0,0,2.56,27.99,0,0,8.44,125.37,0,0,3.12,0,0,0,0,4.6,18.4,5.54,41.78,0,0,21.63,0,1.2
 36-46,0,0,0,0,0.73,0.92,134.97,3.14,0,1.45,16.66,0,0,2.87,0,5.02,1.91,1.2,0,70.35,0.79,3.05,8.97,308.64,1.44,0.57,1.21,0,0,2.01,0,0,34.06,2.04,276.99,0,0,18.29,0,11.36
 48-58,0,0,0,0,7.28,0,189.93,2.16,0,1.21,61.87,0,0,3.77,0,0,0,0,0,65.84,0,0.44,10.1,283.33,0.5,0,0.42,0,0.39,0,0,1.06,6.81,0,235.11,0,0.85,10.13,0,0
 60-70,0,0,0.7,0,3.5,0,242.87,0.91,0,0.8,90.74,0,2.38,2.46,9.06,6.6,1.92,0.72,0,122.34,0,7.2,13.12,243.46,0,0,0,0,0,0,0,1.12,3.7,0,184.41,0,1.48,8.62,1.51,8.27
 72-82,0,0,0.53,0,0,3.24,71.34,0,0,1.15,94.43,0,0,2.68,0,6.28,2.11,0,0,165.72,2.54,11.01,10.7,131.2,0,0,4.87,0,0,2.73,0,0.49,2.89,0,44.32,2.36,4.34,24.86,10.45,4.23
 84-94,0,0,0,0,0,2.94,89.25,1,5.21,3.55,82.61,0,0,4,0,0.86,2.43,4.13,0,181.98,0,0.83,5.85,120.8,1.26,0,2.06,0,5.36,5.1,0,2.27,0,0,96.04,1.34,13.53,30.88,11.27,0
 96-106,0,0,0,0,11.63,2.62,51.29,0.64,0,0,62.02,1.67,0,4.74,1.55,0.86,8.86,0,0,109.24,0,1.24,2.95,133.71,0.73,0,2.89,0,0,11.11,0,0,5.3,0,15.24,0,5.18,13.3,18.62,2.62
108-118,0,0,0,0,10.6,8.31,36.01,1.48,0,1.11,65.9,0,0,3.91,2.05,6.47,2.43,0,0,139.11,0,5.03,3.99,192.34,0.72,0.66,0.54,0,1.76,3.11,0,0,1.7,0,12.54,0,0.75,13.18,14.86,2.65
120,0,0,0,0,5.27,0,11.97,8.27,0,0,83.24,1.26,0,0,2.06,7.11,0,1.84,0,119.42,1.47,1.38,5.52,112.24,0,0,7.17,0,0,4.43,0,1.12,1.21,0,21.45,0,5.78,3.52,13.29,3.58
