stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.78,194.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.62,284.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.24,0,0,0,15.06,0,7.16,5.74,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.59,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,0,66.82,4.22,0,0,20.28,0,4.24,5.33,0,0,0,9.11,0,0,0,0,0,0
 14-21,0,0,0,5.76,0,0,0,0,0,0,0,0,0,1.8,0,0.97,0,0,0,0,5.46,0,0,1.14,18.81,1.05,0,1.07,0,0,13.94,0,1.94,0.86,0,5.73,6.66,0,0,0,0,0
 24-34,0,0,0,1.8,0.69,0,0.91,0,1.29,0,0,0,0,0.67,0,0.67,0,0,0,0.69,9.57,0,0,8.33,29.73,0,0,2.6,0,0,7.65,0,0,2.26,0.63,0,5.96,0,0,2.93,0,0.86
 36-46,0,0,0,2.65,0,0,14.58,0,1.15,0,5.15,0,0,0,0,1.45,0,0,0,0,8.42,0,0,1.03,45.62,0.88,0,0,0,0,13.59,0,0,0,4.33,0,6.52,0,0,6.6,0,0
 48-58,0,0,0,0.77,0,0,7.24,0,0,0.5,15.05,0,0,0,0,0,0,0,0,19.77,14.23,0.92,0,0.77,20.38,3.07,0,0,0,0,3.85,0,0,0,3.22,0,5.07,0,0,5.6,0,0
 60-70,0,0,13.49,12.87,0,0,5.38,0,1.01,0.86,17.44,0,0,7.24,1.39,0,0,1.13,0,0,18.32,3.37,0.76,1.13,12.35,0,0,0.86,0,0,5.74,0,0,0.62,0,0,7.83,0,0,3.83,0,0
 72-82,0,0,0,3.03,7.98,0,18.68,0,0.51,3.63,17.48,0,0,1.08,0,2.36,0,2.07,0,8.55,23.58,0,0,5.94,7.3,5.96,0,0,0,0,1.83,0,0,0.54,0,0,0,0,0,6.43,0,5.97
 84-94,0,0,1.11,10.35,3.75,1.24,22.01,1.27,2.82,0.94,28.85,2.86,0,0,2,1.81,1.32,0,9.73,1.3,27.21,0,0,2.06,17.69,0,2.6,14.63,0,3.75,11.62,0,0,0.62,0,0,0.67,0,0,0.63,0,8.71
 96-106,0,0,0,2.24,14.49,0,12.99,0,2.37,3.9,18.61,0,0,0.86,1.86,4.05,0,0,2.19,0,33.79,1.89,0.88,2.43,12.04,0,0,0.64,0,11.15,17.43,0,0,0,0,0,7,0,0.89,4.06,1.61,6.62
108-118,0,0,0,16.69,5.12,1.94,10.73,0,0,0.78,27.86,5.73,0,0,2.43,4,0,0,0,7.3,32.68,1.41,9.61,0.81,13.83,0,1.48,0.89,0,1.89,11.41,0,0,1.85,0.53,0,0,0.67,0,5.98,0,1.16
120,0,0,0,12.45,8.42,0,22.48,0,5.32,0,30.69,2.76,0,1.85,4.79,1.06,0,0,0,0,7.13,0,0,5.95,12.86,7.32,0,3.28,0,0,6.19,0,0,1.22,0,0,2.14,0,0,39.92,0,0
