stage,erythrocytes,neural,olfactory,periderm,spinal_cord
 24-34,0,0,0,0,2.83
 48-58,0.37,3.1,0,0,0
 72-82,2.81,0,0,0.94,0
 84-94,0.79,0,0,0,0
 96-106,12.38,0,0,0,0
108-118,0.99,0,0,0,0
120,0,0,2.89,0,0
