stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,glial,gut,liver,mesenchyme,neural,otic,paraxial_mesoderm,pgc,pronephros,spinal_cord
  3-4,0,98.09,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.29,13.98,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.89,0,0,0,0,0,0,0,0,0,0,7.68,8.66,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.64,0,0,0,1.12,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0
 48-58,0,0,0,0,0,0,0,3.72,0,0,0.41,0,0,0,0
 60-70,0,0,0,0,0,0,0.81,0.68,0,0,0,0,0,0,2.54
 72-82,0,0,0,0,0,0,1.38,6.89,2.65,0.88,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.03,1.42,1.18,0,0,0,0,0.64,2.81
 96-106,0,0,0,0.97,2.82,0,0,3.05,0.99,0,0,0,0,1.44,0
108-118,0,0,1.22,1.05,0,0.7,4.26,7.02,0.65,0,1.51,0,0,0,0
120,0,0,0,0,0,0,7.71,0,15.92,0,0,0,0,1.22,0
