stage,blastomeres,epidermis,eye,fast.muscle,glial,mesenchyme,muscle,neural,paraxial.mesoderm,somites,spinal.cord,xanthophores
  3-4,15.41,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.96,4.92,0,0,0
 14-21,0,0,0,0,0,0,3.09,0,0,2.01,0,0
 24-34,0,0,0,0,0,0,0,5.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.57,0,0,3.25,0
 48-58,0,0,2.52,0,0,0,0,6.76,0,0,1.95,0
 60-70,0,0,2.8,0,0,2.06,0,6.5,0,0,0,0
 72-82,0,0,9.56,0,1.31,0.8,0,3.56,0,0,6.11,0
 84-94,0,2.65,2.34,0,0,0,0,16.92,0,0,0,0
 96-106,0,0,21.26,0,3.05,0.62,0,6.52,0,0,3.75,0.75
108-118,0,0,13.79,0,0,0,0,3.18,0,0,1.73,0
120,0,3.32,6.75,4.08,0,0,0,9.99,0,0,0,0
