stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,23.72,362.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.19,0,0,0,0,0,0
  5-6,19.58,490.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14,0,0,0,0,0,8.78,0,0,0,0,0,0
  7-9,20.53,17.49,7.82,0,0,73.28,0,0,10.98,0,0,0,0,0,0,0,431.08,20.23,0,0,193.3,0,0,0,0,0,0,0,0
 10-12,0,14.23,29.92,0,0,113.04,0,0,0,0,0,0,0,0,0,0,697.04,0,0,0,172.35,0,0,0,9.17,0,0,0,0
 14-21,0,0,0,0,1.9,0,0,1.85,0,0,0,0,0,0,0,1.06,58.95,0,0,0,1.18,0,0,6.29,1.65,0.9,25.46,0,0
 24-34,0,0,0,2.82,0,3.14,0,1.48,0,0,0,0,0,6.06,0,0.63,68.23,1.86,0,1.72,0,0,0,0,0.86,1.47,15.4,0,0
 36-46,0,0,0,0,0,17.03,0,3.06,0,0,0,0,0,4.7,0,0.69,50.51,0,1.28,0.63,0,0,0,0,0,0,6.93,0.61,0
 48-58,0,0,0,0,0,48.18,0,3.83,0,0,0,0,0.45,4.27,0,0.53,25.55,0,0,0,0,0,0,0,0,0,5.11,0.59,0
 60-70,0,0,0,0,0,138.33,0,2.34,0,0,2.38,0.66,0,8.43,0.66,0.68,21.65,0,0,0,0,1.22,0,0,0,0,3.22,0,0
 72-82,0,0,0,0.49,0,115.89,0,2.89,0,0,1.42,0,0,13.26,0,2.36,18.69,0,0,0,0,0,0,0,0,0,4.09,0,0
 84-94,0,0,0,0.88,0,105.43,1.77,8.02,0,0.78,0,0,0,9.34,0.69,0,12.2,0,9.74,0,0,0,0,0,0,0,0.65,0,0
 96-106,0,0,0,2.95,4.61,88.61,0,3.33,0,0,1.46,0,0,3.82,0,1.22,12.04,0,0,0,0,1.28,0,0,0,0,0,0,0
108-118,0,0,0,0,0,42.51,0,0,0,0,0.57,0,1.13,7.08,0,0,18.12,0,0,0.98,0,0,0,0,0,0,0,0.73,0.72
120,0,0,0,1.27,0,70.27,0,1.61,0,0,0,0,0,0,0,0,20.35,0,0,0,0,0,0,0,0,0,0,0,0
