stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,4.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,0,0,0,0,0,0,0,1.76,0,0,0,0,1.13,0,1.15,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,5.63,0,0,0,0,0,0,0,3.15,0,0,0
 36-46,0,0,1.37,0,0,0,0,0,1.15,0.85,13.3,0,0,0,0,0,0,0,3.75,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.76,0,6.47,0,1.04,0,0.94,0,0,0,3.6,0,0,0
 60-70,0,0,13.08,0,0,0,0,0,0,0.93,13.32,0,0,0.59,0,0,1.33,0,3.33,0,0,0
 72-82,0,5.62,8.97,0,1.41,0,0.68,0,1.53,0,2.98,0,0,0,0,0,0,0,6.59,3.09,0,8.06
 84-94,5.47,0,6.72,0,0.6,0,0,0,2.29,1.26,0,1.43,0,4.66,1.16,1.21,0,0,0,2.24,0,0
 96-106,2.29,0,0,0,0,0,0,0,1.61,0,12.23,0.62,0,0,0,0,0,0,0,0,0.86,0
108-118,0.87,0,1.04,0.76,2.06,0.43,1.6,0.51,0,0,5.97,0,0,0,0,0,0,0,0,0,0,0
120,0,0,5.86,0,0,0,2.66,0,0,0,0,0,2.88,0,3.73,1.21,0,0,0,0,0,0
