stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.79,1706.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.23,0,0,0,0,0,0,0,0,0
  5-6,0,131.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.78,0,0,0,6.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.05,0,0,0,12.3,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.37,0,0,0,11.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,285.41,0,1.08,0,10.5,0,0,0,0,0,4.77,0,0,0,0,0,0,0,22.97,8.81,0,0,0,0,0,0,0,0,2.63,8.52,0,0,0,0,0
 24-34,0,0,0,0,194.58,0,1.36,0,50.52,3.21,0,0,0,0,2.27,0,0.91,0.65,0,92.75,0,1.52,173.54,45.21,0,8.41,0,0,0,0,0,0,0,17.23,0,0,0,0,0
 36-46,0,0,0,0,171.36,0,4.03,0,46.63,4.13,2.81,0,1.47,0,4.99,0,0.61,0,0,260.21,11.78,6.52,110.25,98.87,0,15.23,0,0,0,0,0,0,0,36.53,0,0.85,0,0,0.57
 48-58,0,0,0,0,151.64,1.52,7.58,0,68.1,4.72,15.84,0,3.43,0,7.49,0,11.05,0,0,169.33,0.5,6.35,63.81,231.22,0,6.92,0.44,0,0,2.18,0,0,0,37.79,0,0.89,0,0,0
 60-70,0,0,0,0,258.47,0,30.33,0,115.9,4.02,2.39,0,10.35,0,4.97,0.85,2.9,0,2.53,267.31,1.14,22.54,41.24,400.64,0,7.99,3.85,0,2.66,0.64,0,1.34,0,45.33,1.22,11.18,8.17,10.83,0
 72-82,0,0,0,0,111.29,0,45.01,0,37.15,1.68,9.38,1.16,6.65,0,17.02,0,5.74,0,0,233.66,1.67,30.02,48.19,418.59,0,20.89,5.62,0,7.31,4.48,0,0,0,40.07,0.59,7.02,1.51,22.35,0
 84-94,0,0,0,0,161.96,0,85.96,0.79,71.06,3.15,10.98,0.96,11.99,0,5.66,0,1.32,1.81,0,290.15,0.62,45.77,28.76,259.35,0.71,14.26,0,0,1.65,16.58,0,0,0,10.81,4.56,22.83,0,31.32,0
 96-106,0,0,0.93,0,114.94,0,22.76,0,36.3,6.87,0.68,2.63,15.32,0.69,2.8,1.11,3.46,0.56,0,195.39,0.76,25.07,34.72,260.43,0,29.68,4.43,0,20,15.28,0,1.18,0,17.01,10.06,15.48,2.94,39.82,0
108-118,0,0,0,0.74,208.41,3.67,63.1,0,78.91,3.65,8.77,5.03,19.74,0,2.72,1.42,1.02,0,0,297.83,0.92,25.64,49.32,301.27,0.57,19.21,8.4,0,5.41,10.98,0,0,0,12.56,12.68,8.13,2.67,22.01,2.81
120,0,0,0,0,275.97,1.79,65.12,0,96.05,5.27,20.38,4.47,29.91,0,7.82,0,0,1.42,0,272.49,3.14,27.86,26.24,530.94,0,87.09,5.9,0,26.46,11.33,1.14,0,0,24.93,2.29,17.21,0,59.43,0
