stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,1.85,7.94,0,3.7,0,0,1.88,0,0,0,0,0,6.39,0,1.17,92.49,0,0,0,0.91,1.52,2.55,2.2,1.66,4.26,22.39,0,0,0
 24-34,0,2.46,0,57.23,0,0,3.74,0,0,0.69,0,0.72,24.37,0,2.23,379.23,0,1.55,5.32,0,1.48,0,0,0,1.73,76.33,0,3,0
 36-46,0,17.93,0,110.28,0,1.71,3.9,0,0,0,0,0,12.65,0,0.58,280.46,0,0.57,5.59,0,1.25,0,0,0,0,23.94,0,0,0
 48-58,0,7.25,0,128.94,0,0.4,9.39,0,0,0,0,0,13.64,0,5.49,119.3,0,0,1.45,0,2.16,0,0,0,0,6.27,0,0,0
 60-70,0,5.46,0,119.28,0,0,9.91,0,0.66,0,0,0,7.92,0,0,104.11,1.17,0,0,0,1.65,0,0,4.44,0,1.24,0,0.89,0
 72-82,0,3.05,0.59,16.94,2,0,3.09,0,0,0,0,0,10.52,1.81,2.5,31.05,0,0.67,0,0,0,0,0,0,0,0,0,2.75,0
 84-94,0,1.54,2.86,24.62,0,0,4.86,0.72,0,0.78,1.76,0,14.14,0,2.76,23.84,2.73,0,0,0,0,0,0,0,0,0,0,0.59,0
 96-106,0,2.09,0,8.55,0,0,1.4,0,0,0,0,0,2.52,0,0.62,9.04,0,0,0,0,6.44,0,0,0,0,0,0,1.16,0
108-118,0,0.91,0,12.47,0,0.53,0.82,0,0,0,0,0.6,3.96,0,1.56,20.4,0,0.77,0,0,0,0,0,0,0,0,1.76,0.97,0
120,0,0,2.68,69.62,0,0,17.66,0,0,2.5,0,0,17.39,0,0,41.96,0,0,0,0,0,0,0,0,0,0,0,0,4.22
