stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,194.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.5,0,0,0,0,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.95,6.6,0,0,0,0,0,0,0,0,0,0,0,0,13.47,0,3.46,0,0,0,3.53,0,0,0,0,0
 14-21,0,1.33,10.82,0,0,0,0,0,0,0,0,0,0,0,0,0.94,5.43,0,0,0,0,0.9,0,0,0,3.69,0,0
 24-34,0,0.79,0.91,0.61,0,0,0,0,0.67,0,0,0,4.8,0,0,1.09,10.36,2.37,0,0,0,0,0,0,0,1.68,0,0
 36-46,0,0,0,0.69,0,0,1.75,0,0,0,0,0,5.92,0,0,0.89,4.69,12.83,0,0,2.74,0,0,1.22,0,6.78,0,0
 48-58,0,0,0,4.17,0,0,0,0,1.14,0,0,0,12.49,0,0,0.56,9.12,0,0,0,0,0,0,0,0,10.7,0,0
 60-70,0,0.69,0,2.35,1.2,0,2.81,0,1.7,0,2.76,0,27.1,3.18,0,0,4.29,1.1,0,0.66,0,0,0,0,0,3.11,0,8.92
 72-82,0,0,0,3.44,0,1.33,5.24,0,2.1,0,0,0,18.24,0,0,0.8,2.05,0,0,0,0,0,0,3.06,1.44,27.97,1.15,0
 84-94,0,1.84,0,0.57,0,1.31,0,0,5.95,0.59,0,0,16.98,0,1.65,1.01,10,0,0,0,0,0,0,0,0,6.28,0.89,0
 96-106,0,3.14,0,8.67,0,0,2,0,2.53,0,0.6,0,15.58,0,2.02,0,3.46,0,0,0.83,0,0,0,0,1.8,13.8,0,0
108-118,0,0.97,0,2.15,0,0,2.2,0,0.63,0,0,0.69,16.54,0,1.44,0,3.35,0,0,1.55,0,0,0,0,3.43,13.65,0.6,0
120,0,7.48,0,7.07,0,3.27,0,0,5.02,0,2.11,0,25.69,0,0,2.94,1.17,0,0,0,0,0,0,0,0,24,0,0
