stage,blastomeres,eye,immune,mesenchyme,neural,spinal_cord,vascular_smooth_muscle
  5-6,17.64,0,0,0,0,0,0
 60-70,0,0,0,0.66,0,1.45,0
 72-82,0,0,0.6,1.87,0,0,0
 96-106,0,0,1.64,0.95,3.7,0,0.83
120,0,1.29,0,7.07,0,0,0
