stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.35,719.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.17,0,0,0,0,0,0,0,0,0
  5-6,34.73,828.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.97,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0
  7-9,6.72,8.06,0,15.78,0,0,0,34.34,0,0,0,0,0,23.11,0,0,0,0,0,0,0,0,0,0,470.27,8.22,0,0,194.5,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.62,0,8.87,0,6.14,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.17,0,0,0,111.14,0,0,0,19.54,0,0,9.29,0,0,0,0
 14-21,0,0,0,0,17.88,2.56,0,2.59,0,0,0,0.86,2.35,0,0,0,0,0,0,0,0,3.34,0,1.39,42.19,0,0,0,0,0,0,8.35,1.71,0,11.13,7.55,0,0,0,0
 24-34,0,0,0,2.04,7.31,3.46,0,4.48,0,0,0.84,5.14,0,0,1.97,0,0.93,0,0,0,0,5.08,0,0.66,67.4,0,1.27,3.35,0,0,6.7,0,0,0,0,12.18,0,1.19,0,0
 36-46,0,0,0,0,8.59,0,0,26.22,0,0,0,3.02,1.33,0,0,0,0,0.65,0.61,8.85,1.47,8.37,0,0.82,60.47,0,5.46,0,0,0,32.56,0,0,5.42,0,14.26,0,1.32,0,0
 48-58,0,0,0,0,26.47,0,0,37.92,0,1.55,0,14.63,4.31,3.95,0,0,4.34,0.43,0.41,1.88,0,7.4,0,7.01,63.19,3.9,1.3,3.53,0,0,11.84,0,0,0,0,3.88,0,0.52,0,0.92
 60-70,0,0,0,0,23.56,0,0,15.92,1.44,1.81,1.64,0.88,1.02,0,0,0,8.09,2.04,0,0.87,0,1.49,0,6.04,54.65,0,0,3.5,0,0,24.27,0,0,0,0,2.93,0,5.64,0,0
 72-82,0,0,0,0,8.21,5.16,0,26.65,0,0,0,6.68,0.85,0,0,0.55,0.54,0,1.15,0,0,8.96,0,0,46.93,0,4.29,3.42,0,0,14.66,0,3.55,0,0,8.88,1.23,5.47,1.44,0
 84-94,0,0,0,0,12.52,8.01,0,14.73,0,1.15,0,4.62,1.98,0,0,0,5.81,0,4.16,4.15,0,10.27,0,0,18.43,0,0,0.79,0,0,26.18,0,0,0,0,0,1.21,0,0,0
 96-106,0,0,2.32,0,6.27,0,0,6.81,0,0,0,4.86,0,0,0,0.8,0.86,0,1.31,0,0,5.83,0,0,7.3,0,0,1.45,0,0,15.44,0,0,0,0,3.56,1.02,0,0,0
108-118,0,0,0,0,16.59,0,2.35,9.14,0,2.66,0,3.4,1.32,0,0,0.42,0.45,0,0,1.05,0,4.31,4.67,7.71,29.44,1.82,9.3,5.79,0,0,10.05,0,0.41,0,0,1.99,3.37,0.63,0,4.57
120,0,0,0,0,45.36,0,0,21.61,0,3.08,0,3.35,3.83,0,0,0,4.43,0,0,0,0,32.43,1.31,0,59.01,0,0,0,0,4.59,8.62,0,0,0,0,0,0,3.23,0,0
