stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,xanthophores
  3-4,73.75,1275.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.78,0,0,0,0,0,0
  5-6,148.3,2472.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.1,0,0,0,0,49.46,0,0,0,0,0,0
  7-9,56.64,92.56,0,47.36,0,0,74.08,0,0,0,74.74,0,0,0,0,0,0,0,0,1210.33,17.41,0,0,350.67,4.34,0,0,0,0,0,0
 10-12,0,4.29,0,32.13,0,5.53,29.63,0,0,0,23.78,0,0,0,0,0,0,0,0,376.93,4.1,0,0,177.64,0,6.79,0,21.52,0,0,0
 14-21,0,0,0,0,6.57,0,0.9,0,0,0,0,1.08,0,0,0,5.7,0,0,0.89,15.97,3.58,1.1,0.88,0,0,0,2.89,0,3.48,2.37,0
 24-34,0,0,0.81,0,4.69,0,0.76,1.55,1.18,1.22,0,0.93,0,0,1.47,1.48,0.69,0,0,12.06,0,2.38,2.27,0,6.82,0,0,0,0.62,3.09,0
 36-46,0,0,0,0,4.28,0,1.25,0,0,0,0,0,0,0,0,0.6,1.99,2.26,2.5,35.49,0,0,0.56,0,17.98,0,0,0,0,1.69,0
 48-58,0,0,0,0,5.59,0,2.76,0,1,3.21,0,0,0.74,0,0,1.22,0.39,0,0,9.68,0,0,9.95,0,3.34,0,0,0,0,1.05,0
 60-70,0,0,0,0,3.42,0,2.56,0,0,0,0,0,0,0,0,4.69,0,0,0,1.42,0,0,0,0,2.79,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,4.66,0,0,0,0,0,0,0,0,2.43,1.59,0,0,5.32,0,0,0,0,1.19,0,0,0,0,0,0
 84-94,0,0,0.66,0,2.38,0,3.94,0,2.77,0,1.3,0,0,0,0,1.42,0,0,0,2.9,0,0,0,0,8.12,0,0,0,0,2.56,2.4
 96-106,0,0,0,0,1.95,1.5,2.66,0,0.8,0,0,0,0,0,0,0.71,0,0,0,1.81,0,0,0.57,0,2.16,0,0,1,0,0,0
108-118,0,0,0,0,6.83,0,2.9,0,4.46,0,0,0.47,0,0.43,0,3.55,5.42,0,0,12.79,0,0.46,0.6,0,7.56,0,0,0,0,0,0
120,0,0,0,0,26.18,0,18.12,2.16,0,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,11.98,0,0,0,0,0,0
