stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.94,419.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.49,272.18,0,0,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.79,84.88,0,71.95,0,0,0,314.39,0,0,0,0,0,7.03,0,0,0,0,0,0,0,0,0,0,0,1527.28,8.09,0,0,293.41,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,125.28,0,133.84,0,0,0,174.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2664.33,31.27,0,0,473.48,0,0,4.19,18.82,0,31.21,14.61,0,0,0,0,0
 14-21,0,0,1.11,28.45,97.04,28.19,0,86.66,0,0,0,20.23,19.59,0,5.06,0,0,0.87,0,0,0,99.92,0,0,96.27,974.12,20.82,1.92,7.76,7.29,0,6.54,86.57,7.26,18.07,391.64,353.52,0,0,4.07,0,1.35
 24-34,0,0,2.55,9.06,27.56,0,0,163.25,0,0,0,11.77,9.47,0,4.98,0,0.62,0,4.9,1.76,0,218.58,0,2.4,93.69,1006.75,12.19,5.2,10.98,0,0,15.17,0,2.89,2.99,42.61,289.54,0,0,16.14,0,7.19
 36-46,0,0,0,0,29.84,0,0,144.33,8.15,0,1.91,27.88,4.01,0,5.95,1.78,0,0,1.94,0,11.32,213.72,0,5.65,43.65,758.01,16.25,1.45,1.4,0,0,10.57,0,0.86,4.04,1.57,218.25,0,2.09,6.36,0,1.28
 48-58,0,0,0,0,3.52,0.58,0,368.26,14.46,1.45,2.06,24.68,0,0,2.41,0,1.39,2.27,1.94,0.46,0,153.09,3.4,13.78,45.71,380.87,0.92,7.21,3.7,0,0,0.98,0,0,0,0,96,0,0.37,13.89,0,10.71
 60-70,0,0,0,0,19.03,0,0,741.13,0,2.35,2.3,49.87,1.62,0,0,1.84,6.65,4.55,3.12,8.95,0.59,195.63,0,1.48,14.14,379.17,1.06,2.4,2.75,0,8.44,19.9,0,0,2.1,0,57.83,0,0,6.69,0.94,5.81
 72-82,0,0,0,0,15.48,15.79,0,450.51,1.54,0,0,30.51,1.17,0.58,0.91,0.59,0,3.76,7.4,1.05,0.49,133.36,0,4.29,13.22,306.14,0.52,4.1,3.41,0,3.18,11.83,0,0,0,0,42.12,1.81,0.75,7.4,4.37,6.09
 84-94,0,0,0,0,13.93,0.6,2.35,396.98,1.73,0.66,3.43,31.76,0.71,1.3,1.1,0.62,0,4.02,7.88,0,6.2,152.49,0,7.66,20.44,184.8,2.83,1.88,9.45,0,5.27,26.48,0,1.96,0,0,27.01,13,1.08,12.77,3.88,2.6
 96-106,0,0,0,0,23.27,6.5,2.51,302.96,8.87,0.59,2.51,25.65,2.29,0,2.39,2.57,0.58,7.7,1.88,2.19,0,134.85,0,3.28,11.78,234.23,2.99,3.91,7.06,0,0,30.07,0,0,0,0,14.01,11.32,1.48,7.89,3.63,1.24
108-118,0,0,0.8,0,12.46,8.37,4.93,289.2,7.49,3.2,3.13,40.24,5.09,0,0,3.1,0.45,8.01,4.25,4.23,5.3,119.84,1.07,3.63,21.7,265.15,1.43,4.06,3.63,0,3.5,25.24,0,0.42,6.42,0,12.35,5.1,0,4.41,3.76,5.89
120,0,0,3.99,0,48.4,2.57,0,218.13,10.64,8.37,1.47,70.62,7.56,0,0,4.94,0,3.86,10.68,0,0,148.71,0,0,22.31,340.17,1.18,9.07,32.38,0,0,24.51,0,0,1.6,0,0,0,0,14.22,3.04,0
