stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.89,0,0,0,0,1.71,0,0,0,0,0,0,2.51,15.59,3.7,0,0,0,1.35,38.03,1.66,1.5,43.96,8.29,0,0,0,0
 24-34,0,0.64,0,0,0,0,0,0,0,0,0,31.77,0,48.17,23.06,1.62,0,5.73,0,1.06,0,0,0,5.81,2.22,0,0,0,0
 36-46,0,0,0,2.44,0,1.2,2.05,0,0,0,0,139.66,0,75.71,36.79,0,1.67,6.93,0,0.69,0,0,0,0,10.07,0,1.05,0,0
 48-58,0,9.11,0,8.32,0,4.09,0,0,0,0,0.39,117.3,0.6,48.24,35.75,0.38,0,8.25,0,3.78,0,0,0,0,11.42,0,1.39,0,0.66
 60-70,0,1.15,0,31.63,0,3.67,0,0.76,0,0,0,185.28,0,32.31,56.72,0,0,13.5,0.84,0,0,0,0,0,19.49,1,0.85,0,0.7
 72-82,0.62,5.36,1.1,29.71,0.49,4.62,18.21,0,0,5.8,0,225.45,0,31.84,74.77,0,0,6.65,0,0.9,0,0,0,0,19.43,1.52,0,2.06,0
 84-94,0,0,0,17.86,8.72,13.31,0,0,1.56,0,1.81,124.93,7.46,32.31,35.07,0,2.17,2.87,0,0,0,0,0,0,4.61,0.77,0,0,0
 96-106,0,4.43,0,27.39,0,1.91,3.3,0,0,0,0,178.57,0,14.95,38.57,0,0,9.6,0,3.52,0,0,0.61,0,9.41,0,2.1,0,0
108-118,0,0.44,0,11.44,0.98,0.64,4.49,0,0,0,2.66,113.84,0,12.61,39.77,0,0,0,6.66,0,0,0,0,0,0,0,1.6,4.13,0.41
120,0,0,0,20.22,2.98,7.72,0,2.11,0,0,0,83.63,0,10.51,142.23,0,0,8.19,0,0,0,0,0,0,19.67,0,0,0,0
