stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0.96,8.65,3.25,0,12.22,0,0,0,0,0.82,1.69,0,0,0,0,0,2.04,3,0,0,4.61,110.14,0,0,0,0,22.16,0,1.45,0,0,12.07,25.89,0,0,1.79,0,0.96
 24-34,0,0,7.18,0.6,0,28.21,0,0,0.97,3.29,0,2.46,1.4,0.81,0,0.61,0,0.59,10.31,0,0,4.92,210.65,1.36,1.22,0,0,19.4,0,0,2.4,0,0.66,42.98,0,0,18.73,0,1.97
 36-46,0,0,2.95,0,0,25.29,0,0,0,6.07,0,1.71,1.55,0,0,0.77,0,2.45,6.52,0,0,1.05,295.11,3.27,2.98,0.82,0,30.35,0,0,1.71,0,0,74.68,0,0,21.22,0,2.44
 48-58,0,0,21.61,7.12,0,50.31,0,0,0.92,15.51,0,1.32,2.04,0,0.79,0,0,2.34,9.91,0.41,0,0,351.63,0.57,5.4,3.57,0,6.6,0.98,0,0,0,0,47.18,0,0,16.56,0,2.13
 60-70,0,0,4.93,0,0,126.98,0,1.77,10.44,25.79,0,0,5.53,0,0,0,0,0,24.52,0,0,2.53,407.69,4.2,1.56,0,0,15.88,0,0,1.19,0,0,47.4,0,1.31,11.04,0,14.3
 72-82,0.91,0,7.54,0.49,0,89.62,0,6.89,0.49,25.31,0.84,0,8.48,2.91,0.5,0.49,0,0,40.94,0.58,0,0,426.4,0,1.81,1.1,0,11.75,0,0,0,0,0,40.26,0,0.49,18.21,0.5,4.84
 84-94,1.29,0,21.49,1.71,0,147.66,0,11.35,0,36.9,1.17,0.98,22.57,0,2.59,0,0,2.56,41.62,0.76,1.37,3.07,379.31,0.94,3.34,0,0,45.83,0,0,0.67,0,0,34.34,2.52,5.35,30.79,6.07,6.59
 96-106,2.52,0,29.64,0.68,0,180.37,3.05,6.02,0,30.33,2.81,0,18.69,1.23,1.06,0.97,0,0,42.91,2.18,1.95,0,301.92,3.48,2.67,0.64,0,41.26,0,0,0,0,0,42.07,1.23,7.98,16.51,1.16,0
108-118,0,0,42.65,1.18,0.43,200.58,0,7.13,0,23.2,4.26,0,12.52,1.71,2.01,0.49,2.01,0,41.35,0,1.4,3.91,325.27,11.06,0,0.84,4.55,31.52,0,0,1.19,0.66,0,14.01,1.65,1.94,24.09,0,2.97
120,3.9,0,60.37,0,0,80,0,5.09,0,68.75,6.38,0,38.81,3.6,0,0,2.32,0,24.56,0,0,1.09,574.85,15.83,2,1.59,1.79,34.27,0,0,1.58,0,0,19,1.99,4.25,28.2,0,0
