stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.2,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.42,0,0,0,0,0,29.82,0,0,0,0,0,0,0,0,0
  7-9,3.65,0,0,0,0,22.17,0,0,0,0,11.9,0,0,0,0,0,0,0,0,0,0,0,105.27,4.26,0,0,17.27,0,0,0,0,0,0,0,0,0,0,0
 10-12,10.04,0,9.02,0,0,18.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.48,4.54,0,0,119.37,0,0,9.31,26.37,0,3.24,0,0,0,0,0
 14-21,0,0,0,12.35,0.95,6.59,0,0,0,0,0,1.23,0,0,0,0,0,0,4.35,0,0,8.35,90.23,4.06,0,0,2.98,0,0,5.66,0,409.95,19.98,25.16,0,0.89,0,0
 24-34,0,0,0,5.02,0,6.42,0,0,0,1.02,0,0,0,0.64,0,0,5.93,0,7.55,0,0,16.79,95.07,4.5,0,0,0,0,5.05,0,0,975.97,0.62,14.03,0,6.27,0,0
 36-46,0,0,0,1.6,0,23.27,9.58,1.45,2.92,0,0,0.73,0,4.16,1.81,0.61,0,0,12.87,0,0,15.31,197.56,1.71,0,0,0,0,0.92,0,0,1372.54,2.04,32.64,0,0,0,0
 48-58,0,0,0,1.45,0,28.06,16.78,4.19,5.19,3.41,0,0,0,1.29,0,0,0,0,11.16,0.81,0,6.25,197.84,0,2.36,0.5,4.77,0,1.03,0,0,1032.8,0,20.75,0,1.72,0,0
 60-70,0,0,0,1.59,0,22.64,41.16,1.65,2.86,0,0,0,5.33,0.6,0,0,0,3.12,12.78,0,0,8.7,58.66,0,0,2.68,4.86,0,0,0,0,584.6,0,8.23,0.71,1.17,0,0
 72-82,0,0,0,2.82,2.03,33.67,29.78,0,13.94,0,0,0,0,0,0,0,0,0,40.64,0,0,16.69,53.79,8.89,0,0,2.25,0,0,0,0,295.81,0,8.21,1.24,2.55,1.08,6.26
 84-94,0,0,1,1.49,0,35.3,103.35,0,2.6,3,0,0,1.53,0,0,0,5.53,0,9.14,0,0.95,16.88,32.94,0.68,0,0,0,0,6,0,0,495.94,0,9.73,0,2.37,0,0
 96-106,0,0.61,0,5.27,5.72,41.58,54.78,0,13.35,2.05,0,0,1,0,7.37,0,2.28,0,23.06,2.03,0,13.15,93.56,0.8,6.99,4,0,0,14.87,0,0,452.75,0,4.02,2.27,3.69,0.69,3.29
108-118,0,0,0,3.25,0,11.09,73.73,1.17,15.47,0,0,0,1.18,0,0,0,7.48,0,18.83,0,0,12.91,44.51,0,0,0.48,0,2.45,4.12,0,0,460.51,0,0,0,2.08,0,8.93
120,0,0,0,1.8,0,11.08,35.65,0,0,1.71,0,0,1,0,5.44,0,0,0,9.48,0,0,12.11,56.47,0,0,0,0,0,0,3.36,0,183.57,0,0,0,0,0,0
