stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,22.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,40.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.94,0,0,13.15,0,0,27.61,0,0,0,25.17,0,0,0,0,0,0,0,74.26,12.73,0,0,61.15,0,0,0,0,0,0
 10-12,0,4.6,0,0,0,0,36.56,0,0,0,3.11,0,0,0,0,0,0,0,141.54,4.38,0,0,68.99,0,0,7.91,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0.83,3.77,3.76,0,0,0.96,0,1.52,0,1.04,0,0
 24-34,0,0,0,0,1.79,0,0,0,0,0,0,1.37,0,0,0,2.83,0,1.38,12.48,1.3,1.29,1,0,0,0.65,0,1.16,0,1.13
 36-46,0,0,0,0,14.57,0,1.8,0,0,0,0,0,0,0,0,4.19,0,0,30.37,0,0,0,0,0,8,0,3.93,0,0
 48-58,0,0,0,0,0.42,0,2.96,0,0,0,0,0,0,0,0,5.17,0,0.73,14.55,0,0.95,0.38,0,0,2.69,0,8.34,0,0
 60-70,0,0,0,0,0.64,0,4.86,1.72,0,0,0,0,0,0,0,2.61,1.76,0,9.62,0,0,0,0,0,1.8,0,0,0,0
 72-82,0,0,0.5,0,0,0,12.34,0,0,0,0,0,1.22,0.6,0,2.4,0,2.19,23.63,0,0.7,0,0,0,5.71,0,0,0,0
 84-94,0,0,0,0,1.94,0,7.02,0,0,0,0,0,0,0.65,0,3.44,0,0,0,0,0,0,0,0,3.28,0,0,0,0.61
 96-106,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0.75,0,0,1.3,0,0,2.33,0,0,0.71,0,0,0,0
108-118,0,0,0,0,0,0.75,1.38,0,0,0,0,0,0,0.87,0.47,0,0,0,5.43,0,0,0.87,0,0,2.79,0,0,1.18,0
120,0,0,0,0,5.21,0,0,1.05,8.18,3.28,0,0,0,0,0,2.84,0,0,21.54,0,0,0,0,1.79,11.17,2.11,0,0,10.52
