stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,otic,pericytes,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,0,1.01,1.31,0,0
 24-34,0,1.03,2.27,2.1,0,0,0,0,0,2.48,0,0.83,20.99,0,0,0,0.66,2.43,0,0
 36-46,0.94,0,2.66,0,0,0,0,0,0,1.39,0,2,10.51,0,0,0,0,0,5.71,0
 48-58,0,0,3.17,0,2.29,0,0,0,3.7,2.55,0.84,0,29.51,0,0.56,1.29,0,4.32,0,0
 60-70,0,0,8.45,0,0,0,0,0,0,3.92,0,0,22.63,0,0,0,0,0,0,0
 72-82,0,0,17.35,0,0.83,0,0.49,0,0,6.74,0,0,13.58,0,0,0,0,3.24,0,1.24
 84-94,0.74,0,11.38,0.67,2.78,0,0.86,0,0,3.31,0,0,8.03,0,0,0.79,0,0,0,0
 96-106,0,0,12.96,0,2.5,3.54,1.53,0,0,6.29,0.66,0.68,27.59,0,0,5.68,0,0,0,0
108-118,1.28,0,5.56,0.91,5.45,0,0,0.77,0,4,0,0,25.22,0.72,0,0,0,1.5,1.85,0
120,1.16,0,12.8,0,0,0,0,0,0,8.87,0,0,5.86,0,0,2.12,0,7.12,0,0
