stage,eye,glial,lateral.line,mesenchyme,neural,olfactory,otic,pericytes,pronephros,somites,spinal.cord,vasculature
 14-21,0,0,0,0,9.97,0,0,0,0,0.84,0,0
 24-34,0,0,0,0,14.23,0,5.6,0,0.69,0.68,0.74,3.13
 36-46,0.72,3.37,0,0,6.42,0,2.49,0,0,0,0,2.52
 48-58,1.43,0,2.5,0,12.34,0,9.54,0,0.4,0,0,0
 60-70,0,0,0,0,0,0,10.23,0.71,0,0,4.23,0
 72-82,0.95,0.56,2.56,0,1.81,0,16.53,0,0.57,0,0,0
 84-94,0,0.56,1.23,0.67,9.34,3.34,18.79,0,0,0,0,0
 96-106,0,0,4.87,0,1.02,0,16.69,0,0,0,0,0
108-118,0,0,3.44,1.96,3.44,0,21.33,0,0,0,0,0
120,0,0,4.04,2.94,12.29,3.8,29.35,0,0,0,0,0
