stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,11.53,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,17.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.12,0,0,0,26.76,0,0,0,27,0,0,0,0,0,0,0
 14-21,11.31,61.21,87.68,0,0,10.74,0,0,0,23.55,25.42,3.2,0,0,23.06,5.26,0,0,0,394.45,1.33,0,3.41,1.89,0,0.9,1.82,0,1.83,0,374.56,0,6.32,0,14.92
 24-34,8.53,7.04,152.09,0,0,14.84,0,0,0,41.47,26.33,2.68,4.3,2.05,38.73,5.71,1.37,0,2.19,290.08,1.07,4.37,16.35,0,5.05,0,0,0.68,0,2,285.59,0,33.84,0,38.75
 36-46,3.83,0.69,154.62,0,0,7.21,0,0,0,29.93,10.49,10.73,7.83,0,23.49,2,0.95,0,0.56,188.08,2.33,2.33,5.61,0,15.75,0.68,0,0,0,0,168.05,0,7.45,0,30.65
 48-58,0.81,0.54,143.55,0,0,13.93,0,0,0.44,33.01,1.52,12.76,4.48,0,4.05,3.28,0,0,0,101.65,0,0.52,22.43,0,10.77,0,0,0,0,0,45.75,0,13.68,0,45.22
 60-70,12.46,0.67,181.95,0,0,12.36,0,0,0,81.21,1.17,44.29,16.98,0,7.61,3.02,0,0,2.51,127.41,0,0,31.58,0,55.64,0,0,0,0,0,24.81,0,3.45,0,40.16
 72-82,2.31,6.61,139.82,1.05,0,38.9,3.39,0.59,0,81.01,5.57,47.28,28.97,4.47,0,13.79,0.93,0,0,121.54,0,3.66,61.91,0,87.8,0,0,0,0,0,26.59,0.71,11.84,0,37.71
 84-94,11.03,2.34,332.23,0.67,0,29.78,0.71,0,5.71,141.06,1.89,75.47,34,0.82,5.62,0.69,0,0,0,118.63,5.31,0,83.82,0,169.19,0,0,0,0,0,18.33,3.13,13.23,1.33,27.27
 96-106,11.27,15.07,289.7,3.08,0,39.16,1.1,0,0,162.96,1.37,41.29,35.81,9.85,0.69,44.15,2.31,0.59,0.81,136.98,0,4.64,106.29,0,344.94,0.85,0,0,0,0,8.41,0,14.91,0.82,26.88
108-118,14.82,11.94,272.13,6.92,0.43,59.47,0.45,0,0,112.07,5.7,59.78,33.71,3.18,6.94,21.45,7.78,0.46,0.83,174.82,1.1,1.41,84.82,0,343.21,0,0,0,0,0,7.51,0,14.28,0,9.73
120,30.1,15.65,108.12,11.57,0,31.27,0,0,0,203.04,6.03,54.52,48.86,0,7.52,10.4,1.1,0,1.86,317.75,3.25,1.48,150.46,0,295.57,2.5,0,0,0,0,4.68,0,33.82,0,11.22
