stage,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.53,0,0,0,0,0
 14-21,0,0.85,0,0,0,2.12,0,0,0,0,0,0,0,0,0,5.9,1.54,0,0,0,1.28,2.2,0,0
 24-34,0,0,0,0.83,0,0,0,0,0,0,0,0,1.97,0,0,7.29,0,0,0,0,0,2.41,0,0
 36-46,0,0,1.5,1.38,0,0,0,0,0,0,0,0,0,0,0,8.26,0,0.61,0,0,0,2.59,0,0
 48-58,0.42,0,0.41,4.48,0,0,0,0,0,0,0,0,0.65,0,0,18,0,0.47,0,1.41,0,1.96,0,0
 60-70,0,0,0,50.89,0,3.34,0,0,0,0,0,0,0.56,0,0,8.55,1.03,0,0,1.89,0,0,0,0
 72-82,0,0,0.77,14.44,0,1.9,0,0,0,0,0.79,0,2.14,0,0.63,1.16,0,0.98,0,1.56,1.99,3.16,0,3
 84-94,1.01,0,0.79,14.92,0,0,0,0.8,0,0,0,0,1.35,0.76,0,0.65,0,0,0,0.71,0,0,0,0
 96-106,0,0,1.87,9.19,0,0,0,0,0.71,0,2.56,6.49,10.83,0,0,2.29,0,1.59,0,2.67,0,2,0,3.94
108-118,0,0,2.31,7.32,1.72,0.79,0,0,0,0.42,0.47,2.36,0,0,0,8.67,0,2.2,0,3.53,0,2.9,0.46,0
120,0,0,0,5.11,0,0,1.25,0,0,0,0,0,0,0,0,4.88,0,0,0,0,0,0,0,0
