stage,erythrocytes,eye,glial,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,periderm,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,6.05,0,0,0,0,1.81,3.28,0,0,0,0
 24-34,0.66,0,0,6.32,0,0,1.77,0,0,9.6,0,2.13,0,0
 36-46,0,19.01,0,28.93,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.88,10.81,0,1.93,0,0,0,4.31,0,3.32,1.27,0
 60-70,0,1.78,1.08,17.78,0,0,0,0,0,1.85,0,0,0,0
 72-82,0,8.52,0,27.74,0,0,0,0.72,0,3.76,0,0,1.46,6.42
 84-94,0,3.69,0,44.32,0,0,0,0,0,8.48,0,0,0,0
 96-106,0,0,0,26.42,1.11,0.86,0,0,1.38,2.35,0,0,0,0
108-118,0,1.48,0.96,33.55,0,2.81,0,0,1.15,0.9,0.44,0,0,0
120,7.49,0,9.98,35.54,0,0,0,0,0,7.55,0,0,0,0
