stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,85.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.83,0,0,0,0,0,0,0,0,0
  5-6,7.04,63.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0,8.08,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.38,0,0,138.95,0,0,0,0,3.24,0,0,0,0,0,0
 14-21,0,0.93,6.17,0,3.91,0,2.24,3.25,0,0,1.42,0,0,0,0,0,0,1.89,0,0,3.1,8.88,22.21,0,0.86,0,0,0,16.63,105.43,7.33,0,0,0,0,0
 24-34,0,0,9.94,0,5.59,0,2.5,24.18,0,0,1.08,0,0,0,0,0,0,0.77,0,0,0.6,194.45,60.08,1.32,0,0,4.52,0.86,0,0.75,44.22,0,0,0.78,0,0
 36-46,0,0,3.07,0,1.74,0,12.98,4.65,0.81,1.45,0,0,0,0,0,0,0.66,3.33,0,0,2.88,387.13,44.25,0,0,0,2.88,0,0,0,95.32,0,0,2.81,0,0
 48-58,0,0,0.4,0,0,0,27.07,7.59,0.85,5.5,0,0,0,0,0,0,2.79,10.33,0,0,10.01,421.32,25.2,0,0,0,0,0,0,0.83,84.2,0,0,1.87,0,8.16
 60-70,0,0,1.23,0,2.19,0,70.38,9.11,0.62,11.52,1.23,0,0,0,0.63,0,0.71,20.19,0,0,7.65,614.09,25.91,0,0,0,0.9,0,0,0,59.95,0,0,0,0.79,0
 72-82,0,0,18.99,1.27,2.64,0,91.15,0.5,0,11.95,8.78,0,0,0.76,1.56,0,0,22.42,0,2.05,7.41,823.64,45.84,0.91,0,1.06,1.13,0,0,0,62,0,0,0,1.06,0.82
 84-94,0,0,23.96,4.04,4.86,0,65.04,1.3,0,26.16,6.97,1.16,0,11.78,2.49,0,0,24.1,0,0,5.43,619.11,34.53,0,0,0.57,1.56,0,0,0,71.79,8.98,2.51,1.11,0,0
 96-106,0,0,18.07,0,2.38,2.93,79.24,1.62,0,18.26,9.42,0,0.62,0,0.82,0,1.03,29.06,0.81,0,13.66,546.48,75.79,0.91,0,0,0,0,0,0,34.72,4.1,0,0,1.82,13.86
108-118,0,0,11.62,2.17,9.03,0.97,87.69,4.87,3.75,19.57,9.96,0,1.87,0.69,0,3.69,1.18,25.87,0,0,10.91,972.21,45.63,0.78,0,0,2.81,0,0,0,33.03,1.89,0,0,7.92,0
120,0,0,8.73,0,2.9,0,143.48,1.13,0,7.29,14.95,0,6.97,2.5,0,0,0,6.55,0,0,15.43,1162.52,30.89,0,0,0,0,0,0,0,19.74,0,6,4.9,0,0
