stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,1.72,0,3.39,0,0,12.41,0,0.63,0,0,0
 36-46,0,0,0,0,0,0,3.21,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,8.09,0,0,0,0,0
 48-58,0,0,0,0,0,0,7.59,0,0,0,0,0.5,0,0,0,0,0,0,34.46,0,10.17,1.2,11.14,0,0,2.22,0,0,0,0,0
 60-70,0,0,0,0.8,0,0,3.01,0,0,0,4.78,0,0,0,0,0,0,0,245.01,0,6.6,0,40.41,0,0,11.95,0,0,0,0,0
 72-82,0,0,0,0.51,0,0,33.53,0,0,2.8,45.77,0,1.4,0,0,0.64,4.65,0,544.53,0,11.69,0,72.46,0,1.2,4.44,0,4.72,0,0,0.76
 84-94,0,1.29,0,2.21,0,0,9.27,0,0,4.47,141.42,0,0,0.71,0,0,2.03,4.37,556.73,2.69,11.64,0,96.93,0,0,17.44,0,0,0.61,0,0
 96-106,0,5.44,0,8.45,13.11,0,17.43,0,0.63,0.8,178.87,0,2.44,0,0,0,0,0,329.89,0,45.22,0,170.93,0,5.88,7.59,0,0,0,0.61,2.56
108-118,0,0.77,0.61,2.16,0.57,3.75,14.92,0,0,1.2,322.09,0,0,0,0.43,0,1.83,0,259.13,0.78,43.42,0,160.25,0.96,0.87,12.35,0.6,0,0,0,1.13
120,0,0,0,1.08,0,0,9.14,0,0,0,134.61,0,0,0,0,0,4.14,0,442.81,0,55.97,11.69,138.2,0,1.76,12.73,0,0,0,0,0
