stage,blastomeres,erythrocytes,fin_mesenchyme,glial,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,somites,spinal_cord,vasculature
  3-4,14.05,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.75,0,0,0,0,0,0,10.45,0,5.52,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,9.79,0,0,2.62,0,0
 24-34,0,0.9,0,0,0,0,1.74,1.75,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0
 48-58,0,0,0.66,0,3.61,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,2.4,0,0,0.69,2.6,1.35,0,0,0,0,0
 72-82,0,0,0,0,1.31,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.19,3.47,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,1.63,0,0,0
120,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
