stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,580.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.21,350.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,12.24,0,0,0,0,0,0,0,0,0,0,0,37.53,8.05,0,0,24.77,0,14.1,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.52,0,0,0,0,0,27.58,0,0,0,0,0,0,0,0,0,0,0,21.26,40.61,0,0,14.74,0,6.67,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.39,0,0,0,0,0,0,0,0,2.54,0,0,0,0,0,13.51,0,3.92,0,0,4.41,19.24,0.83,0,0,0,0,12.12,1.18,0,0.81,9.3,0,0,0,0,0
 24-34,0,0,0,7.24,0.61,0,12.63,0,3.16,0,2.28,0,0,0.75,0,1.78,0,0.66,20.97,0,11.7,1.62,0,15.06,105.05,6.99,12,2.12,0,0,15.43,0,2.05,4.24,26.65,0,0,4.04,0,0
 36-46,0,0,0,21.44,1.11,0,23,3.75,0,1.95,4.21,0,0,2.99,0,0,0,0,0,0,11.9,2.62,0,4.47,198.86,2.44,11.15,0,0,0,38,0,0,0,27.89,0,0,1.86,0,5.09
 48-58,0,0,0,7.29,0,0,48.11,0,4.91,7.87,8.82,0,0,1.08,0,1.82,0,0,0,0.59,52.64,2.31,0,3.37,190.67,5.39,5.09,2.12,0,0,20.26,0,0,0,58.9,0,0,2.28,0,2.52
 60-70,0,0,0,2.89,0.61,0,111.45,0.99,0,4.77,18.98,0,0,0,0,0,0.66,0,0,5.28,76.86,2.52,0.88,0,283.67,3.64,4.42,0.59,0,0.63,14.15,0,0.62,0,53.75,0,1.55,4.63,0,2.08
 72-82,0,0,0.53,6.79,20.35,0,125.49,0,0,1.82,14.84,2.16,0,0,2.23,0,4.43,2.3,1.05,0,99.51,0.73,5.13,1.83,355.62,1.43,4.97,2.6,0,0,7.45,0,0,0,25.47,0.56,0.94,3.1,0.52,9.03
 84-94,0,0,2.46,14.73,18.03,0,89.02,0,0,2.98,16.14,9.58,0,1.06,3.42,0,1.79,0.66,1.81,0,73.32,14.08,0,0.68,190.29,6.4,0,5.27,0,0,29.94,0,0.64,0,29.12,0,1.27,8.76,18.65,2.98
 96-106,0,0,0,9.35,6.73,0.88,98.79,2.66,1.61,1.14,14.74,10.64,0,0,6.52,1.77,0,6.61,0,0,73.63,6.95,1.34,0,213.48,0,9.05,2.46,0,3.25,23.25,0,0,0,22.41,1.22,5.54,8.59,4.91,0
108-118,0,0,1.9,12,24.74,6.93,70.92,0.7,3.85,0,26.9,7.45,0,0,3.68,1.4,2.88,4.28,3.59,0,59.04,0,3.31,3.48,270.68,0.43,1.62,1.43,0,0,22.4,0,0,0,9.55,0,2.95,2.1,7.28,0
120,0,0,0,6.51,1.33,2.19,63.48,0,0,5.63,49.27,8.88,0,0,4.27,0,0,5.46,1.5,0,58.48,2.91,2.13,4.42,496.43,1.08,10.1,0,0,2.54,13.13,0,0,0,25.13,1.19,0,3.36,8.57,0
