stage,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,25.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,18.81,0,0,0,0,0,0
 14-21,0,0,3.23,5.98,0,1.27,0,0,1.39,0,17.54,0,0,0,0,0,1.64,1.98,0,0,0
 24-34,0,0,1.52,3.91,0,0,0.59,0,2.49,3.09,25.62,0,0.94,0.73,0,0.91,0,3.16,0,0,0
 36-46,0,0,0,1.88,1.35,2.07,0,0,6.82,1.72,8.87,0,0,1.31,0,0,0,0,0,0,0
 48-58,0,0,0,3.97,1.12,0,0,0,3.68,2.19,3.13,0,0,0.39,0,0,0,0,0,0,0
 60-70,0,0,0,1.43,2.25,2.62,1.9,0,12.91,0.6,3.04,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.59,1.34,5.27,0,3.11,14.04,0.89,12.69,0,0,0,0,0,0,3.26,0.85,0,0.5
 84-94,0,0,0,0,0,4.4,0,12.66,12.89,1.2,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,8.55,0,2.92,1.28,14.8,12.22,2.03,3.44,0.57,0,0,0,2.79,0,0,1.03,0,0.9
108-118,0,0.74,0,2.27,0,3.69,0.5,14.61,17.82,1.81,10.13,1.16,0,0.91,0,0,0,0,2.26,1.22,6.96
120,0,0,0,0,0,1.07,2.74,3.68,2.19,1.39,16.62,6.37,0,0,0,0,0,0,0,0,0
