stage,blastomeres,eye,glial,mesenchyme,muscle,neural,periderm,spinal_cord
  3-4,23.06,0,0,0,0,0,0,0
  5-6,28.04,0,0,0,0,0,0,0
 14-21,0,1.18,0,0,1.21,9.45,0,0.97
 24-34,0,0,0,0.82,0,3.84,0,1.53
 36-46,0,0,0,1.37,0,11.12,0,1.62
 48-58,0,0.49,2.63,0,0,9.21,0,0.81
 60-70,0,0,0,0,0,1.19,0,0
 72-82,0,4.2,1.59,0,0,4.71,0,0
 84-94,0,0,0,0,0,1.62,0,0
 96-106,0,0,0,1.57,0,7.83,0,0
108-118,0,0,0,0,0,4.43,0.8,0
120,0,0,0,0,0,4.64,0,0
