stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44,0,1.55,0,0,0.96,0,0,0,0
 24-34,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,29.8,0,5.96,0,0.89,9.91,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0.8,47.69,0,0,0,0,17.15,0,0,0,0
 48-58,0,0,0,13.85,0,1.79,0,0,0,0,0,0,0,0,0,104.81,0,0,1.35,2.42,14.44,0,1.24,0,1.31
 60-70,0,0,0,105.38,0,0,0,0,0,0,0,0.63,1.53,0,0,157.54,0,1.19,0,0,26.7,0,0,0,0
 72-82,0,0,0.76,127.35,1,5.16,0,0,0,0,0,1,6.5,0,0,192.01,0,1.02,0,0,13.33,0,0.72,0,0
 84-94,1.2,0,0,135.41,0,4.11,0,0,0.93,0,0,0.99,1.15,0,0,166.4,0,0,0.89,1.22,9,0,1.76,0,0
 96-106,1.05,0.66,6.79,154.16,0,10.58,0,0,0.95,0,0,0,5.56,0,1.06,141.35,0,0,1.09,4.19,0,0,0,0,0
108-118,0,1.17,0,125.96,0,7.2,0,0,0,0.85,1.25,2.14,1.28,0.53,0.92,153.84,0,4.27,4.09,2,4.03,0.52,0,0,0
120,0,0,0,149.48,0,14.15,0,0,0,0,0,0,0,0,0,230.45,0,0,0,0,7.69,0,0,1.93,0
