stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,1973.72,36498.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436.71,0,0,0,0,0,0,0,0,0,0
  5-6,2710.95,35140.5,41.98,0,0,0,0,0,0,0,0,75.89,0,0,0,0,0,0,0,0,0,1210.33,59.28,0,0,204.81,0,1013.63,0,0,0,0,0,0,0,0,0,0
  7-9,476.38,445.55,551.54,0,0,1106.98,0,0,0,0,0,481.13,0,0,0,0,0,0,0,0,0,11403.09,417.18,0,0,3958.26,0,22.03,77.24,0,0,0,0,0,0,0,0,0
 10-12,7.59,110.25,237.32,0,28.75,564.42,0,0,0,0,0,82.04,0,0,0,0,0,0,0,0,3.87,3689.53,149.61,0,0,1509.1,0,8.14,41.56,4.43,146.32,0,13.22,9.42,0,0,0,0
 14-21,0,0,0,67.22,8.22,6.5,0,0,0,5.2,4.47,12.33,0.89,0,0,0,0,2.33,16.27,0,10.19,221.61,11.33,1.23,1.7,4.67,0,8.45,0.86,41.04,3.05,3.85,27.43,59.76,0,0,0,0
 24-34,0,0,0,4.61,0.69,2.81,0,0.72,0,4.11,0,0,0,0,0,0,0,10.8,8.9,0.89,2.84,63.4,2.58,0,0,0,0,10.85,0,0,0,0,0,12.76,0,0,2.66,0
 36-46,0,0,0,0.62,0,4.34,0,0,0,0.69,0,0,0,0,0,0,0,0,3.44,0,0,49.09,4.24,0,0,0,0,24.26,0,0,0.59,0,0,6.4,0,0,1.03,8.92
 48-58,0,0,0,0,0,15.32,0,0,2.98,5.08,0,0,0,0,9.04,0,0,2.22,9.76,0,1.42,56.78,5.36,0,0,0,0.45,0,0,0,0,0,0,10.02,0,0,0.47,0
 60-70,0,0,0,4.27,0,33.41,1.28,0,0,3.74,0,0,0.92,0,0,0,0,0,14.45,0,0,41.58,0,0,0,0,0,1.86,0,0,0,1.5,0,2.54,0,0,0,0
 72-82,0,0,0,0,5.39,14.75,0,0,0,0.51,3.29,0,0,0,0,0.83,0,0,5.42,1.62,0.83,51.98,0,1.32,0,0,0,1.01,0,0,2.57,0,0,6.95,0,0,0,0
 84-94,0,0,0,4.38,0.83,18.67,0,0,0,4.79,0,0,0,0,0.75,4.06,0,0,3.18,0,0,24.62,0,0,3.24,0,0,0.57,0,0,0,0,0,0,0,0.99,0,0
 96-106,0,0,0,1.77,0,7.15,0,0,0,1.83,0,0,0,0.98,0,0,0,0,6.58,0,0,28.27,0,0,0,0,0,2.69,0,0,0,0,0,3.32,0.83,2.52,0,0
108-118,0,0,0,0.54,0,7.41,0,0,0,0,0.43,0,0,0,0,0,0,0,3.53,1.4,0,24.29,0,1.77,0,0,0,0.42,0,0,0,0,0,0,0,0,3.57,6.66
120,0,0,0,19.27,0,16.67,0,4.59,0,6.8,0,0,0,8.64,2.21,0,5.57,0,0,0,2.92,46.79,0,0,13.55,0,0,7.36,0,0,0,0,0,0,0,0,2.49,0
