stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,25.56,124.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,41.84,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.52,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.05,0,1.51,0,0,1.52,2.39,0,0,0,20.99,0,0,0,0
 24-34,0,0,0,2.33,0,0,4.21,0,0,0,0,0,0,0,0,0,0,0,1.76,0,0,0,428.28,0.67,14.31,0,0,4.74,0,0,0,0.71,174.66,0,0,0,0
 36-46,0,0,0,2.81,0,0,9.9,0,0,0,13.16,0,0,0,0,0,0,0,12.66,0,0,0,1041.63,0,5.72,0,0,0.9,18.37,0,0,0,256.75,0,0,0,0
 48-58,0,0,0,1.34,0,0,98.86,0,0,1.35,50.91,0.44,0,0,0,0,2.1,0.5,14.22,0,0,6.48,1541.42,0,14.56,0,0,2.05,0,0,0,0,314.45,0,0,0.77,2.16
 60-70,0,0,0,0,1.65,0,326.95,0,0.9,0.72,41.5,0,1.39,0,0,0,0,0,17.06,0.65,0,1.9,1842.07,0,5.61,0.7,0,1.55,0,0,1.46,0,363.72,0,0,3.07,2.89
 72-82,0,0,0,4.87,2.72,0,374.61,0.95,0,0.56,25.4,0,0,0.63,0,0,0,0,26.74,0,0,1.47,1627.39,0,23.37,0,0,5.21,0,0,0,0,217.84,0,0,1.7,7.9
 84-94,0,0,0,5.36,0,0,270.19,1.27,0,0,11.68,0,0,0,0,0.81,0,0,25.34,0,0,0,1019.79,0,2.58,0,0,0,0,0,0,0,126.53,0,0,0,0
 96-106,0,0,0,2.35,4.37,9.83,176.92,0.71,0,0.63,23.78,0,0,0,0,0.84,19.09,0,18.88,0,0,1.04,1009.85,0,25.33,0.73,0,3.6,0,0,0,0,46.39,0,1.93,0,0
108-118,0,0,0,3.04,1.91,0,230.1,2.07,0,0,15.03,0,0,0,0.95,0,4.05,0,23.25,0,1.56,0.53,1084.36,0,11.32,0,0,3.12,0,0,0,0,45.17,1.88,0,2.06,0
120,0,0,0,8.91,0,1.8,200.72,0,0,0,76.57,0,0,0,0,0,0,0,17.72,0,0,0,1853.45,0,7,0,0,0,0,2.12,0,0,123.41,0,0,0,0
