stage,eye,glial,ionocyte,mesenchyme,mucous,neural,olfactory,otic,periderm,spinal_cord,visceral_smooth_muscle
 14-21,0,0,0,0,0,1.05,0,0,0,3.51,0
 24-34,1.83,0,0,2,0,2.41,0,0,1.57,1.11,0
 36-46,0,0,0,0,0,11.42,0,0,0,0,0
 48-58,2.12,0.82,0,0,0,9.49,1.07,0,0,1.61,0
 60-70,11.22,0,0,1.52,0,7.96,0,0,0,1.53,0
 72-82,12.5,1.36,0,0,0,10.94,1.61,1.57,0.57,0.76,0
 84-94,11.84,0,0,0,0,8.56,0,0,0,0,0
 96-106,8.37,0,0,0,0,7.19,0,0,0,0,1.91
108-118,6.11,0,0.54,0,5.99,1.78,0,0,0,0.7,0
120,0,0,0,0,0,15.92,0,0,2.61,0,0
